,common_entity,entity1,entity2,entity3,rag_text
1256,claire's song,yellowjackets,1983,blues/jazz,
1257,snow,rosemary clooney,1954,blues/jazz,
1258,killing the blues,chris smither,2000,country/folk,
1259,my name (wearing me out),shinedown,2012,pop/rock,
1260,"baby, baby, everynight",etta james,1987,blues/jazz,
1261,i.s.s.u.e.s.,katastro,2018,country/folk,
1262,walk away,black sabbath,1980,pop/rock,
1263,caroline,status quo,2005,blues/jazz,
1264,demon cleaner,kyuss,1994,pop/rock,Demon Cleaner is a song by American rock band Kyuss. It was released as the first single from their third album Welcome to Sky Valley in 1994. It was written by the band's guitarist Josh Homme.
1265,one by one,stéphane pompougnac,2011,blues/jazz,
1266,heat wave,the who,1966,pop/rock,
1267,i'm wanted,cocoa tea,1992,country/folk,
1268,wash me in the water,jamie n commons,2013,blues/jazz,
1269,it's only make believe,glen campbell,1970,pop/rock,"""It's Only Make Believe"" is a song written by drummer Jack Nance and Mississippi-born singer Conway Twitty, while they were touring across Ontario, Canada in 1958. Twitty was a relatively unknown rock n' roll singer at the time, and this song was his first hit, reaching No. 1 on the Billboard chart in November 1958 for two weeks. 
The song has been covered by a number of artists, including Billy Fury, Child,  and Ronnie McDowell, whose recording features contributions from Twitty. Glen Campbell had a top 10 hit with the song in 1970."
1270,feels so right,alabama,1980,country/folk,"""Feels So Right"" is a song written by Randy Owen, and recorded by American country music band Alabama.  It was released in May 1981 as the second single and title track from the band's album Feels So Right. It was the group's fourth straight No. 1 single (and first multi-week No. 1) on the Billboard magazine Hot Country Singles chart.""Feel So Right"" was covered by Clay Walker as a duet with Randy Owen on his 2010 album She Won't Be Lonely Long."
1271,stand!,sly & the family stone,1969,pop/rock,
1272,someday my prince will come,bill evans,1960,blues/jazz,
1273,beetlebum,blur,1997,pop/rock,"""Beetlebum"" is a song by English alternative rock band Blur. It was released on 16 January 1997 as the lead single from the band's eponymous fifth album, Blur (1997). Written about Blur frontman Damon Albarn's experiences with heroin, the song features Beatles-influenced music and a mood that Albarn described as ""sleepy"" and ""sexy"". Despite fears of the song's uncommercial nature, the single debuted at number one on the UK Singles Chart, becoming Blur's second track to top the chart. It has since appeared on several Blur compilations."
1274,i will always love you (in my own crazy way),johnny cash,1986,country/folk,
1275,if i could make a living,clay walker,1994,country/folk,"""If I Could Make a Living"" is a song written by Alan Jackson, Keith Stegall and Roger Murrah, and recorded by American country music artist Clay Walker.  It was released in September 1994 as the first single and title track from his album of the same name.  It was Walker's fifth chart entry, and became his fourth Number One hit on the Billboard country charts in November 1994. It also reached #21 on the Bubbling Under Hot 100 charts, and on the Canadian RPM country charts, it followed Jackson's ""Livin' on Love"" at Number One. (""Living"" topped the charts two weeks after ""Livin' on Love"" spent its third week at Number One on the Billboard country charts.)"
1276,hey love,shaggy,2000,country/folk,
1277,beer barrel polka ( roll out the barrel ),the andrews sisters,1987,blues/jazz,
1278,spain,chick corea,1973,blues/jazz,
1279,96 tears,? & the mysterians,1964,pop/rock,
1280,leaving is the only way out,shania twain,1995,country/folk,
1281,life on a rock,kenny chesney,2013,country/folk,
1282,river,roberta flack,1973,blues/jazz,
1283,mercy walked in,gordon mote,2008,country/folk,
1284,boom boom mancini,warren zevon,1987,country/folk,
1285,fast as you,dwight yoakam,1993,country/folk,"""Fast as You"" is a song by American singer-songwriter and guitarist Dwight Yoakam, written and recorded by Yoakam. It was released in October 1993 as the third single from his fifth studio album, This Time. Like his previous two singles, this song topped out at #2 in the United States, while it peaked at #5 in Canada. This is his last American top 10 hit to date, while he'd have three more in Canada, including another number-one. This is also his second single to enter the Billboard Hot 100, peaking at #70 on that chart.American country music duo Steel Magnolia covered this song live, which is included in their 2010 extended play, Steel Magnolia — EP. Runaway June also recorded a cover of the song, which appears on their self-titled 2018 EP and their debut album, Blue Roses."
1286,whole lot of shakin' in my heart (since i met you),smokey robinson & the miracles,1966,pop/rock,
1287,punishment,biohazard,1992,pop/rock,
1288,i'm to blame,mickey gilley,1967,country/folk,
1289,pretty paper,willie nelson,1979,country/folk,"""Pretty Paper"" is a song written by country music singer-songwriter Willie Nelson in 1963. After being signed to Monument Records, Nelson played the song for producer Fred Foster. Foster pitched the song to Roy Orbison, who turned it into a hit. Nelson later recorded his own version of the song in November 1964."
1290,do the damn thing,killah priest,2011,hip hop/reggae,
1291,sweeter memories,todd rundgren,1972,pop/rock,
1292,outcast at last,sticky fingers,2016,country/folk,
1293,my first love,avant,2000,pop/rock,
1294,get out of town,ella fitzgerald,1956,blues/jazz,
1295,no good,b.b. king,1969,blues/jazz,
1296,the wicked messenger,the black keys,2007,blues/jazz,
1297,how did you love,shinedown,2015,pop/rock,"""How Did You Love"" is a single by American rock band Shinedown. It is their fourth and final single from their fifth studio album, Threat to Survival.
The song was used in season 1 episode 2 of 9-1-1: Lone Star."
1298,the fool,b.b. king,1958,blues/jazz,
1299,believe in me,dan fogelberg,1984,country/folk,
1300,life turned her that way,charley pride,1967,country/folk,
1301,save up all your tears,cher,1991,pop/rock,
1302,from the bottom of my broken heart,britney spears,1999,pop/rock,"""From the Bottom of My Broken Heart"" is a song by American singer Britney Spears from her debut studio album, ...Baby One More Time (1999). It was released on December 14, 1999, by Jive Records as the fifth and final single from the album. After Spears recorded an unused song from Toni Braxton and sent it through Larry Rudolph to several labels, executives from Jive Records commented that it was very rare to hear someone so young who could deliver emotional content and commercial appeal, appointing the singer to work with producer Eric Foster White. The teen pop ballad was written and produced by White, and features Spears singing about the loss of a first love and how breaking up can be hard.
""From the Bottom of My Broken Heart"" received mixed to positive reviews from music critics, who noted the song as a classic hit and competent single, despite considering it unremarkable like other ballads on the album and calling it ""another rejection ballad that refers to kissing but nothing else"". ""From the Bottom of My Broken Heart"" achieved moderate success, peaking at number 37 in Australia, and 23 in New Zealand. In the United States, ""From the Bottom of My Broken Heart"" reached number 14 on the Billboard Hot 100, and 17 on Pop Songs, being later certified Platinum by the Recording Industry Association of America (RIAA) on March 28, 2000, for shipping 1,000,000 physical units of the single. It was the 8th best-selling physical single of the 2000s in the country.
An accompanying music video, directed by Gregory Dark from November 22–23, 1999, was released on December 17, 1999. It portrayed Spears packing her belongings as she readies herself to move away from home, and feeling upset because she knows that she is going to miss her first love. The video was the subject of controversy among the press, who panned the singer for hiring an adult filmmaker to direct her video. A Spears representative commented that they were only aware of Dark doing music videos. The singer performed ""From the Bottom of My Broken Heart"" in a few live appearances, including at the 42nd Annual Grammy Awards, in a medley with ""...Baby One More Time"", and in three of her concert tours."
1303,put a light on,generationals,2013,pop/rock,
1304,i'm alive,beres hammond,2018,country/folk,
1305,pieces of what,mgmt,2007,pop/rock,
1306,romancing the stone,eddy grant,2008,country/folk,"""Romancing the Stone"" is a song written, recorded and produced by Eddy Grant, who released it from his 1984 album Going for Broke.  It was intended for the 1984 feature film of the same name, in fact was announced by Casey Kasem on the 30 June 1984 edition of American Top 40 as the title song to the movie, but ultimately was used only briefly in the film. Clips from the film appeared in at least one official music video for the song, and the song is mentioned in the film's closing credits.
In the United States, the song reached number 26 on the Billboard Hot 100 and number 22 on Cash Box during the summer of that year.  It was a much bigger hit in Canada, where it reached number seven.  It was also a hit internationally, narrowly missing the Top 40 in Germany and the UK, but reaching number 28 in New Zealand.
""Romancing the Stone"" was a hit on two other US charts.  On the soul chart it went to No. 68, and on the dance charts, it peaked at No. 12."
1307,don't take your love from me,catherine russell,2016,blues/jazz,
1308,no love songs,chris cagle,2008,country/folk,
1309,autumn sweater,yo la tengo,1997,pop/rock,"I Can Hear the Heart Beating as One is the eighth studio album by the American indie rock band Yo La Tengo, released on April 22, 1997, by Matador Records. It was produced by Roger Moutenot and recorded at House of David in Nashville, Tennessee. The album expands the guitar-based pop of its predecessor Electr-O-Pura to encompass a variety of other music genres, including bossa nova, krautrock, and electronic music. Most of the songs on the album deal with melancholy emotions and range from short and fragile ballads to long and open-ended dissonance.
Upon release, I Can Hear the Heart Beating as One reached number 19 on the Billboard's Heatseekers Albums chart, becoming the first Yo La Tengo album to enter the charts. Three songs from the album, ""Autumn Sweater"", ""Sugarcube"", and the cover ""Little Honda"", were released as singles. The album received widespread acclaim from music critics, who praised the band's ability to successfully expand the boundaries of nearly any pop style. The album is widely regarded as the band's best work and is frequently included on several publications' best album lists. In 2020, Rolling Stone included it on its list of The 500 Greatest Albums of All Time as no. 423."
1310,speaking in tongues,eagles of death metal,2004,blues/jazz,
1311,blasphemy (selah),steel pulse,1979,country/folk,"Tribute to the Martyrs is the second studio album by English roots reggae band Steel Pulse, released in 1979; it was produced after their previous Handsworth Revolution album. The band became well known after the two albums."
1312,scars,i am they,2018,pop/rock,
1313,pass it on,the wailers,1973,country/folk,
1314,untold stories,kathy mattea,1987,country/folk,
1315,when you come back down,nickel creek,2000,pop/rock,"""When You Come Back Down"" was the debut single by progressive bluegrass band Nickel Creek from their self titled debut album. The song is a cover of the bluegrass musician Tim O'Brien's original version. The song was written by Danny O'Keefe and Tim O'Brien."
1316,fool's castle,merle haggard,1968,country/folk,
1317,i have to surrender,ty herndon,1996,country/folk,"""I Have to Surrender"" is a song written by Pat Bunch and Doug Johnson, and recorded by American country music artist Ty Herndon.  It was released in September 1997 as the fourth single from the album Living in a Moment. The song reached number 17 on the Billboard Hot Country Singles & Tracks chart."
1318,almost persuaded,marty robbins,1963,country/folk,
1319,up tight's creek,tina brooks,1960,blues/jazz,
1320,is yours is mine,gene clark,1967,country/folk,
1321,whisper to a scream (birds fly),the icicle works,2006,pop/rock,"""Birds Fly (Whisper to a Scream)"", given the reversed title ""Whisper to a Scream (Birds Fly)"" in some markets, is a song by the British band The Icicle Works. It was released in 1983 as the first single from the band's 1984 debut eponymous album The Icicle Works, and re-released in March 1984. The song was written by Ian McNabb, the band's lead singer, and produced by Hugh Jones."
1322,i'll never grow tired of you,patty loveless,1988,country/folk,
1323,venom soup,ted nugent,1978,blues/jazz,
1324,don't you believe her,ray price,1966,country/folk,
1325,calling dr. love,kiss,1976,pop/rock,"""Calling Dr. Love"" is a song by American hard rock band Kiss, originally released on their 1976 album Rock and Roll Over. 
A live version of the song was included on Alive II, released in 1977. Since then, ""Calling Dr. Love"" has appeared on numerous Kiss compilation albums. In 2003, it appeared on Kiss's fifth live album, Kiss Symphony: Alive IV. ""Calling Dr. Love"" was also featured in the setlist of the Alive 35 World Tour in 2008.
The Canadian 8-track tape version of the song is extended by about 55 seconds, with a smoothly edited-in repeat of the guitar solo."
1326,it is love,hank locklin,1966,country/folk,
1327,lost in love,new edition,1984,pop/rock,
1328,the national anthem,radiohead,2000,pop/rock,
1329,comfortable liar,chevelle,2002,pop/rock,
1330,lost keys (blame hofman),tool,2006,pop/rock,
1331,swanee,judy garland,1954,blues/jazz,
1332,workin' with the truth,herb ellis,1960,blues/jazz,
1333,thanks to you,nat king cole,1992,blues/jazz,
1334,20 years,bad suns,2013,pop/rock,
1335,helplessly hoping,"crosby, stills, nash & young",1974,blues/jazz,
1336,autopsy,fairport convention,1969,pop/rock,
1337,i think i'm gonna kill myself,waylon jennings,1977,country/folk,
1338,rockin' in the free world,krokus,2017,blues/jazz,
1339,remember me (feat. steve augeri),journey,1998,pop/rock,"Steve Augeri (born January 30, 1959) is an American rock singer best known for his work as the lead singer of Journey from 1998 to 2006. He has also provided lead vocals for Tall Stories, Tyketto, and the Steve Augeri Band. He is a member of the supergroup Bad Penny.

"
1340,these are the days of our lives,queen,1991,pop/rock,"""These Are the Days of Our Lives"" is a song by the British rock band Queen. Although credited to the whole band, it was largely written by their drummer Roger Taylor, and is the eighth track on the band's 1991 album Innuendo.The song was released as a single in the United States on Freddie Mercury's 45th birthday, 5 September 1991, and as double A-side single in Ireland and the United Kingdom on 9 December, in the wake of Mercury's death, with the Queen track ""Bohemian Rhapsody"". The double A-side debuted at number one on the UK Singles Chart and remained there for five weeks, topped the Irish Singles Chart for six weeks, and reached number 16 in Germany. The song was awarded a Brit Award for British Single of the Year in 1992. In 1999, it was included on Queen's compilation album Greatest Hits III.Ron Hart of Rolling Stone writes, ""the conga-driven synth ballad ""These Are the Days of Our Lives"" is Innuendo's most significant single, given that it was released on Mercury's 45th birthday, and that its video marked the last time his fans were able to see the singer alive, as it was filmed in May of 1991 during the final stages of his battle with AIDS. A ballad in the vein of ""Love of My Life,"" it was a song that carried a significant amount of weight given the frailty of Mercury's appearance in the black-and-white video, later compounded when unreleased colour footage from the filming emerged in Days of Our Lives."""
1341,forever,drake,2009,pop/rock,
1342,nobody's watching,jazz cartier,2017,hip hop/reggae,
1343,summer days,a r i z o n a,2018,pop/rock,
1344,get outta my car,hasil adkins,2007,blues/jazz,
1345,love will find a way,pablo cruise,1978,pop/rock,
1346,the angel of death,hank williams,1956,country/folk,
1347,i was made for dancin',leif garrett,1998,pop/rock,"""I Was Made for Dancin'"" is a song written by Michael Lloyd and performed by Leif Garrett. It reached #4 on the UK Singles Chart, #10 on the Billboard Hot 100, and #38 on the US adult contemporary chart.  It also reached #2 in Australia, #10 in Germany, #13 in The Netherlands and #12 in Japan.  The song, produced by Lloyd and arranged by John D'Andrea, was featured on his 1978 album, Feel the Need.The single ranked #37 on the Billboard Year-End Hot 100 singles of 1979."
1348,cruising for bruising,basia,1986,blues/jazz,"""Cruising for Bruising"" is a song by Polish singer Basia released in 1990 as the second single from her album London Warsaw New York. The song remains one of her biggest hits to date."
1349,about today,the national,2004,pop/rock,
1350,bottle let me down,emmylou harris,1975,pop/rock,
1351,return to me,marty robbins,1957,country/folk,
1352,on your feet,the movement,2004,country/folk,
1353,rude boy hip hop (feat. raheem devaughn),styles p,2014,hip hop/reggae,
1354,special k,placebo,2000,pop/rock,"""Special K"" is a single by British alternative rock band Placebo, released on 19 March 2001 on CD and 12"" vinyl, taken from their third album, Black Market Music. The title is slang for Ketamine, and the song itself is supposed to explore ""the link between drugs and love,"" and ""Special K"" is uppers and the rush of falling in love."""
1355,high school musical,high school musical cast,2008,pop/rock,
1356,this year's kisses,nina simone,1966,blues/jazz,
1357,good things,the menzingers,2012,pop/rock,
1358,on the verge,nahko and medicine for the people,2013,country/folk,
1359,donald trump,upchurch,2016,country/folk,
1360,"baby, won't you please come home",les paul,1955,pop/rock,
1361,i am machine,three days grace,2015,pop/rock,"""I Am Machine"" is a song by Canadian rock band Three Days Grace. The song was released as a single on September 30, 2014. It is the second single off the band's fifth studio album Human."
1362,no capitalist,kabaka pyramid,2013,country/folk,
1363,no time,cody jinks,2010,country/folk,
1364,in the hills of shiloh,bobby bare,1973,country/folk,
1365,cry to me,bob marley & the wailers,1976,country/folk,
1366,noto swing,angelo debarre,1999,blues/jazz,
1367,sporting life,brownie mcghee,1955,country/folk,
1368,puro,freeman,2010,hip hop/reggae,
1369,eat you alive,limp bizkit,2003,pop/rock,"""Eat You Alive"" is a song by the band Limp Bizkit. It was released in September 2003 as a single from their fourth studio album Results May Vary (2003). The song was written by Fred Durst, John Otto, Sam Rivers and Mike Smith, and is Limp Bizkit's first single without Wes Borland, who had left the band in 2001."
1370,all outta angst,nofx,1997,pop/rock,"The Greatest Songs Ever Written (By Us) is a greatest hits compilation album released on November 9, 2004 by NOFX consisting of previously released songs that have been cleaned up and restored using a more recent technology. Some songs were even re-mixed for the compilation."
1371,genesis,devin townsend,2019,blues/jazz,
1372,lullaby in ragtime,harry nilsson,1973,pop/rock,
1373,bela lugosi’s dead,bauhaus,1986,pop/rock,"""Bela Lugosi's Dead"" is the debut single by the English post-punk band Bauhaus, released on 6 August 1979 on the Small Wonder label. It is often considered the first gothic rock record."
1374,"blue morning, blue day",foreigner,1978,pop/rock,"""Blue Morning, Blue Day"" is a song written by Lou Gramm and Mick Jones that was first released as the third single on Foreigner's second album, Double Vision, reaching #15 on the Hot 100, the band's sixth top 40 single in two years, and #45 in the U.K.  The song was backed with the Mick Jones song ""I Have Waited So Long"".  ""Blue Morning, Blue Day"" is also available as downloadable content for the Rock Band series and was released on clear blue vinyl."
1375,i miss you,blink-182,2003,pop/rock,
1376,ecstasy,wax tailor,2017,blues/jazz,
1377,true believers,the bouncing souls,2001,pop/rock,
1378,if you gotta make a fool of somebody,aretha franklin,1969,blues/jazz,
1379,solitaire,nina simone,1959,blues/jazz,
1380,your eyes were open,ub40,1984,country/folk,
1381,till there was you,ray charles,2013,blues/jazz,
1382,statue of liberty,little river band,1975,pop/rock,
1383,louisiana gold,anders osborne,2012,blues/jazz,
1384,cowboy songs,chris ledoux,1986,country/folk,
1385,there goes a man,willie nelson,1967,country/folk,
1386,turn around,iration,2010,country/folk,
1387,young girl sunday blues,jefferson airplane,1967,blues/jazz,
1388,gettin' jiggy wit it,will smith,2019,hip hop/reggae,"""Gettin' Jiggy wit It"" is a song by American rapper and actor Will Smith, released as the third single from his debut solo album, Big Willie Style (1997). The verse is based around a sample of ""He's the Greatest Dancer"" by Sister Sledge, and the chorus is sampled from ""Sang and Dance"" by the Bar-Kays. Released in early 1998, the song was Smith's second hit produced by Poke & Tone and L.E.S., who replaced his long-time partner Jazzy Jeff, though the record-scratching techniques of Jazzy Jeff can be heard in the song.The song spent three weeks at the top of the Billboard Hot 100 chart from March 14, 1998. It also won the Grammy Award in 1999 for the Best Rap Solo Performance. It was ranked the 68th greatest song of the 1990s by VH1. However, it was ranked at number 19 on the list of AOL Radio's 100 Worst Songs Ever in 2010. The song was included in Pitchfork Media's 2010 list of ""The Seven Worst U.S. No. 1 Singles of the 90s""."
1389,i slept with someone in fall out boy and all i got was this stupid song written about me,fall out boy,2005,pop/rock,"Fall Out Boy is an American pop punk band from Wilmette, Illinois. Formed in 2001, the band is composed of vocalist and guitarist Patrick Stump, bassist Pete Wentz, guitarist Joe Trohman and drummer Andy Hurley. The group's songwriting is typically led by Wentz (lyrics) and Stump (lyrics/singing), although both Trohman and Hurley are also co-credited for the band's compositions. After a number of extended plays (EPs) and a mini album, the band released its debut full-length album Take This to Your Grave in May 2003. In the same year, the band released a cover of Jawbreaker's ""Save Your Generation"", as well as the Christmas-themed ""Yule Shoot Your Eye Out"".In 2004 the band released three new songs on the EP My Heart Will Always Be the B-Side to My Tongue, which was followed in 2005 by second album From Under the Cork Tree. Infinity on High was released in 2007, when the band also collaborated with Timbaland on ""One and Only"". The following year they released a cover of Michael Jackson's ""Beat It"" featuring John Mayer, as well as their fourth album Folie à Deux. In 2009, Fall Out Boy went on hiatus and released the compilation album Believers Never Die.Fall Out Boy returned in 2013 with Save Rock and Roll, which featured a range of guest contributors including Courtney Love and Elton John. Later in the year they also released PAX AM Days, a short EP influenced by the band's hardcore punk background. In 2014 the band contributed the single ""Immortals"" to the Big Hero 6 soundtrack, which was later featured on their sixth studio album American Beauty/American Psycho. In 2016, the group recorded a cover of the Ghostbusters theme song with Missy Elliott for the film of the same name. In 2018, the band released their 7th album, MANIA, which was their last album until 2023, when they released their 8th studio album, So Much (for) Stardust."
1390,tonight,andy williams,1962,pop/rock,
1391,lost weekend,lloyd cole and the commotions,1985,pop/rock,"""Lost Weekend"" is a song by the British pop and rock band Lloyd Cole and the Commotions, released in 1985 as the second single from their second studio album Easy Pieces. The song was written by band members Neil Clark, Lloyd Cole and Lawrence Donegan, and produced by Clive Langer and Alan Winstanley. It peaked at number 17 in the UK Singles Chart and remained in the top 75 for seven weeks."
1392,love is for all time,the animals,1983,blues/jazz,
1393,blue money,van morrison,1970,pop/rock,"""Blue Money"" is a song written by Northern Irish singer-songwriter Van Morrison. It was the second of two Top Forty hits from his 1970 album, His Band and the Street Choir (the other being ""Domino""), reaching No. 23 on the US chart.  The US single featured ""Sweet Thing"", from the album Astral Weeks, as the B-side. It was released as a single in the UK in June 1971 with a different B-side, ""Call Me Up in Dreamland"". The song became Morrison's third best selling single of the 1970s, remaining on the charts for three months.The lyrics have the singer promising his girl that they will paint the town together with her ""blue money"". Critic Maury Dean states that the theme picks up from Lefty Frizzell's 1950 No. 1 song ""If You've Got the Money I've Got the Time"". In a 1972 Rolling Stone interview with John Grissim Jr., Morrison commented about the popularity of ""Blue Money"" in cities like Boston and New York City: ""Out here I get asked to play 'Blue Money' all the time. All the kids love it, the kids in the street. It's their favorite number."""
1394,united together,aretha franklin,1980,blues/jazz,
1395,simple,phish,1994,blues/jazz,
1396,talisman,the guess who,2000,blues/jazz,
1397,day by day,the 5th dimension,1973,pop/rock,
1398,my romance,dave brubeck,1955,blues/jazz,
1399,beautiful love (take 1),bill evans trio,1961,blues/jazz,
1400,donna the prima donna,dion,1962,pop/rock,"""Donna the Prima Donna"" is a song written by Dion DiMucci and Ernie Maresca and performed by Dion. It reached No. 6 on the Billboard Hot 100, No. 9 on the Cash Box Top 100, and No. 17 on Billboard's R&B chart in 1963, while reaching No. 17 on Canada's CHUM Hit Parade, and No. 2 in Hong Kong. It was from Dion's 1963 album, Donna the Prima Donna.The track was produced by Robert Mersey and arranged by DiMucci.  The backing group is the Del-Satins.
It was ranked No. 86 on Billboard magazine's Top Hot 100 songs of 1963. It references Zsa Zsa Gabor and how the titular girl tries to look like her."
1401,changing,the airborne toxic event,2011,pop/rock,
1402,cassie,flyleaf,2006,pop/rock,
1403,prequel to the sequel,between the buried and me,2007,blues/jazz,"Colors is the fourth studio album by American progressive metal band Between the Buried and Me, released on September 18, 2007 through Victory Records. Although separated in 8 tracks, Colors gives the impression of one continuous song, with transitions between each part. The album was remixed and remastered in 2020. In August 2021, the band released a sequel to Colors, titled Colors II."
1404,bow tie daddy,frank zappa,1968,blues/jazz,
1405,it ain't hard to tell,nas,1994,pop/rock,"""It Ain't Hard to Tell"" is the second single and last track from American rapper Nas' debut album, Illmatic. Although the track was technically the second single on the album, it was the first single to be released after the album was pressed in 1994. The first single, ""Halftime,"" was released two years prior to Illmatic's debut.
""It Ain't Hard to Tell"" was produced by Large Professor, and samples Michael Jackson's 1983 hit single ""Human Nature"", ""N.T."" by Kool & the Gang, ""Long Red"" by Mountain and ""Slow Dance"" by Stanley Clarke. The single reached number 91 on the Billboard Hot 100 chart.
In 1991, Nas recorded a demo tape for Columbia Records, featuring the original version of ""It Ain't Hard to Tell"" named ""Nas Will Prevail"". This version is roughly 90 seconds longer, includes longer different verses, and has a more subdued, jazzier beat close to the album version. Pitchfork Media's included the song at number 28 on their Top 200 Tracks of the 90s."
1406,blue canadian rockies,the byrds,1968,pop/rock,
1407,reminder,mumford & sons,2012,pop/rock,
1408,it's alright,slim smith,1972,country/folk,
1409,stronger now in broken places,joe bonamassa,2018,blues/jazz,
1410,rose of cimarron,emmylou harris,1981,country/folk,
1411,livin' the dream,uncle kracker,2009,country/folk,
1412,what's my name?,rihanna,2010,pop/rock,"""What's My Name?"" is a song recorded by Barbadian singer Rihanna, for her fifth studio album Loud (2010). Featuring guest vocals from Canadian rapper Drake, the song was released as the second single from Loud on October 25, 2010, through Def Jam Recordings. The dancehall-infused electro-R&B song was produced by the Norwegian production duo Stargate, and was written by the duo along with Ester Dean, Traci Hale, and Drake. Lyrically, it incorporates themes of romance and sex.
In Germany released in January 21,2011 is a single 
""What's My Name?"" topped the US Billboard Hot 100 chart, giving Rihanna her third number-one single in 2010, as well as her eighth overall on the chart. The song also topped the charts in Hungary and the United Kingdom and reached the top five in Canada, Ireland, New Zealand, Norway and Slovakia. The song received a nomination at the 54th Grammy Awards for Best Rap/Sung Collaboration.An accompanying music video, directed by Philip Andelman, plays a romantic encounter between Rihanna and Drake in a grocery store along with romantic scenes between the pair and Rihanna walking through Manhattan's Lower East Side. ""What's My Name?"" was promoted with live performances, including Saturday Night Live in the United States and the series 7 finale of The X Factor in the United Kingdom released in 2011"
1413,up,desiigner,2017,hip hop/reggae,
1414,devil doll,roy orbison,1961,pop/rock,
1415,the tables are turnin',einstein,1990,hip hop/reggae,
1416,i'll still be loving you,restless heart,1998,country/folk,"""I'll Still Be Loving You"" is a song recorded by American country music group Restless Heart. It was released in January 1987 as the second single from the album Wheels. The song was written by Todd Cerney, Pam Rose, Mary Ann Kennedy and Pat Bunch, and was Restless Heart's second number-one country single. It went to number 1 on Hot Country Songs for one week and spent 25 weeks on the chart.The single also was a hit on the Adult Contemporary chart and gave the band their first exposure on the pop charts, where it became their first top 40 single."
1417,i'll see him through,tammy wynette,1964,country/folk,"""I'll See Him Through"" is a song written by Billy Sherrill and Norro Wilson, and recorded by American country music artist Tammy Wynette. It released in December 1969 as the first single from the album Tammy's Touch."
1418,na na na,third world,2019,country/folk,
1419,community property,steel panther,2009,pop/rock,
1420,breakaway,nick lowe,1984,country/folk,
1421,he doesn't know i'm alive,janet jackson,1986,pop/rock,"Control is the third studio album by American singer Janet Jackson, released on February 4, 1986, by A&M Records. Her collaborations with the songwriters and record producers Jimmy Jam and Terry Lewis resulted in an unconventional sound: a fusion of rhythm and blues, rap vocals, funk, disco, and synthesized percussion that established Jackson, Jam and Lewis as the leading innovators of contemporary R&B. The distinctive triplet swing beat utilized on the record is also considered to be a precursor to the new jack swing genre. The album became Jackson's commercial breakthrough and enabled her to transition into the popular music market, with Control becoming one of the foremost albums of the 1980s and contemporary music.
Containing autobiographical themes, a majority of the album's lyrics came as the result of a series of changes in her life: a recent annulment of her marriage to singer James DeBarge, severing her business affairs from her father and manager Joseph and the rest of the Jackson family, hiring the A&M executive John McClain as her new management, and her subsequent introduction to Jam and Lewis. The album has been praised by critics as both an artistic feat and as a personal testament of self-actualization. It has also been regarded as a template upon which numerous female artists have modeled their careers, particularly Black women.
Following its release, Control became Jackson's first album to top the Billboard 200 albums chart in the United States and five of its commercial singles—""What Have You Done for Me Lately"", ""Nasty"", ""Control"", ""When I Think of You"", and ""Let's Wait Awhile""—peaked within the top five of the Billboard Hot 100 singles chart, making Jackson the first female artist to have five top five hits from one album on the Billboard Hot 100 chart; ""When I Think of You"" became the singer's first number one hit. Control also set a record for the longest continuous run of charting singles on the Hot 100, at 65 consecutive weeks. Music videos created to promote the album's singles showcased her dancing ability and became a catalyst for MTV's evolving demographics. The album remained on the Billboard 200 chart for over two years. It has been certified five times platinum by the Recording Industry Association of America (RIAA) and has sold more than 10 million copies worldwide.Control went on to receive several accolades, including a nomination for the Grammy Award for Album of the Year and winning Producer of the Year, Non-Classical for Jam and Lewis in 1987. It is listed by the National Association of Recording Merchandisers and the Rock and Roll Hall of Fame as one of the 200 Definitive Albums of All Time, in addition to being included in several publications ""best of"" album lists. In 2016, it was selected for exhibition in the National Museum of African American History and Culture (NMAAHC)."
1422,hold it down,the california honeydrops,2018,blues/jazz,
1423,room of the faded moon,current swell,2005,country/folk,
1424,of thee i sing,ella fitzgerald,1959,blues/jazz,
1425,leave him out of this,steve wariner,1991,country/folk,"""Leave Him Out of This"" is a song written by Walt Aldridge and Susan Longacre, and recorded by American country music artist Steve Wariner.  It was released in September 1991 as the first single from the album I Am Ready.  The song reached number 6 on the Billboard Hot Country Singles & Tracks chart."
1426,i made it,corleone,2014,hip hop/reggae,
1427,where are you now,mumford & sons,2012,pop/rock,
1428,love me for what i am,carpenters,1975,pop/rock,
