,rag,common_entity,entity1,entity2,entity3,entity4
16223,Frederik Jäkel,F. Jäkel,RB Leipzig,37,Germany,German 1. Bundesliga
16224,Tobias Mißner,T. Mißner,SV Wehen Wiesbaden,3,Germany,German 2. Bundesliga
16225,Okan Chatziterzoglou,O. Chatziterzoglou,FC Academica Clinceni,15,Greece,Romanian Liga I
16226,Saeed Hazzam,S. Hazzam,Damac FC,11,Saudi Arabia,Saudi Abdul L. Jameel League
16227,Erik Mattias Andersson,M. Andersson,FC Sion,3,Sweden,Swiss Super League
16228,Dean Huiberts,D. Huiberts,PEC Zwolle,30,Netherlands,Holland Eredivisie
16229,Daniel Jorge Dias Esteves,Danny Esteves,FC Academica Clinceni,18,Portugal,Romanian Liga I
16230,Ayman Yusef Al-Hujaili,A. Al Hejaili,Damac FC,28,Saudi Arabia,Saudi Abdul L. Jameel League
16231,Abdulrahman Salem A Al-Safari,A. Al Safri,Damac FC,29,Saudi Arabia,Saudi Abdul L. Jameel League
16232,Emanuel Marcelo Cuevas,E. Cuevas,Club Atlético Central Córdoba,10,Argentina,Argentina Primera División
16233,Fabian Greilinger,F. Greilinger,TSV 1860 München,11,Germany,German 3. Bundesliga
16234,Lucas Chevalier,L. Chevalier,LOSC Lille,30,France,French Ligue 1
16235,Harun Kavaklıdere,H. Kavaklıdere,Antalyaspor,98,Turkey,Turkish Süper Lig
16236,Erman Herman Vardar,E. Vardar,Antalyaspor,20,Sweden,Turkish Süper Lig
16237,Zinédine Ould Khaled,Z. Ould Khaled,Angers SCO,32,France,French Ligue 1
16238,Kevin Lidin,K. Lidin,Pisa,25,Sweden,Italian Serie B
16239,Manuel Cicconi,M. Cicconi,Virtus Entella Chiavari,49,Italy,Italian Serie B
16240,Ahmad Toure Ngouyamsa Nounchil,A. Ngouyamsa,Dijon FCO,34,Cameroon,French Ligue 1
16241,Théo Barbet,T. Barbet,Dijon FCO,6,France,French Ligue 1
16242,Lassana Diako,L. Diako,Clermont Foot 63,32,France,French Ligue 2
16243,José de Jesús González Muñóz,J. González,Club Deportivo Guadalajara,30,Mexico,Mexican Liga MX
16244,Denzel James,D. James,Sparta Rotterdam,18,Netherlands,Holland Eredivisie
16245,田中 駿汰,S. Tanaka,Hokkaido Consadole Sapporo,32,Japan,Japanese J. League Division 1
16246,Lorenzo van Kleef,L. van Kleef,ADO Den Haag,16,Netherlands,Holland Eredivisie
16247,Adrián Lozano Magallanes,A. Lozano,Santos Laguna,91,Mexico,Mexican Liga MX
16248,Jacob Gabriel Gardiner-Smith,J. Gardiner-Smith,Wycombe Wanderers,24,England,English League One
16249,Haidar Mahdi Al Amer,H. Al Ameri,Al Adalah,24,Saudi Arabia,Saudi Abdul L. Jameel League
16250,Jomaine Ellay Consbruch,J. Consbruch,DSC Arminia Bielefeld,38,Germany,German 2. Bundesliga
16251,Wilson Roberto Neves Bento De Carvalho,Wilson Carvalho,Accrington Stanley,23,Portugal,English League One
16252,Marco Rachid Essimi Ateba,M. Essimi,Paris FC,18,Cameroon,French Ligue 2
16253,Lars Coveliers,L. Coveliers,KV Mechelen,18,Belgium,Belgian Jupiler Pro League
16254,Thibault Rambaud,T. Rambaud,Le Mans FC,33,France,French Ligue 2
16255,David Grözinger,D. Grözinger,VfB Stuttgart,38,Germany,German 2. Bundesliga
16256,Lucas Nahuel González Martínez,L. González,Club Atlético Independiente,14,Argentina,Argentina Primera División
16257,Raúl Prada Lozano,Raúl Prada,RCD Mallorca,28,Spain,Spain Primera Division
16258,Rick Zuijderwijk,R. Zuijderwijk,Willem II,33,Netherlands,Holland Eredivisie
16259,Ramiz Larbi Zerrouki,R. Zerrouki,FC Twente,31,Netherlands,Holland Eredivisie
16260,Nadir Zortea,N. Zortea,US Cremonese,58,Italy,Italian Serie B
16261,Jamie Leweling,J. Leweling,SpVgg Greuther Fürth,40,Germany,German 2. Bundesliga
16262,Marco Stefandl,M. Stefandl,Hannover 96,40,Germany,German 2. Bundesliga
16263,Benedikt Zahn,B. Zahn,SpVgg Greuther Fürth,19,Germany,German 2. Bundesliga
16264,Mohamed Falah Al Sahli,M. Al Sahli,Al Raed,7,Saudi Arabia,Saudi Abdul L. Jameel League
16265,Anıl Gözütok,A. Gözütok,1. FC Kaiserslautern,32,Germany,German 3. Bundesliga
16266,Guillermo Murillo,G. Murillo,Club Independiente Santa Fe,14,Colombia,Colombian Liga Postobón
16267,Aleksa Terzić,A. Terzic,Fiorentina,93,Serbia,Italian Serie A
16268,Murat Paluli,M. Paluli,Göztepe SK,77,Turkey,Turkish Süper Lig
16269,Erol Hakan Sepil,E. Sepil,Göztepe SK,44,Turkey,Turkish Süper Lig
16270,Cenk Şen,C. Şen,Antalyaspor,93,Turkey,Turkish Süper Lig
16271,Giuseppe D'Anca,G. D'Anca,Trapani,15,Italy,Italian Serie B
16272,Harold Andrey Estupiñán Camacho,H. Estupiñan,Jaguares de Córdoba Fútbol Club,25,Colombia,Colombian Liga Postobón
16273,Çayan Poshoroğlu,Ç. Poshoroğlu,Gençlerbirliği SK,40,Turkey,Turkish Süper Lig
16274,Furkan Sağman,F. Sagman,Demir Grup Sivasspor,25,Germany,Turkish Süper Lig
16275,Lino Björn Kasten,L. Kasten,VfL Wolfsburg,35,Germany,German 1. Bundesliga
16276,Kyriakos Stamatopoulos,K. Stamatopoulos,AIK,13,Canada,Swedish Allsvenskan
16277,Daryl Fordyce,D. Fordyce,Sligo Rovers,8,Northern Ireland,Rep. Ireland Airtricity League
16278,Rene Gilmartin,R. Gilmartin,Bristol City,13,Republic of Ireland,English League Championship
16279,Darren McCauley,D. McCauley,Derry City,22,Republic of Ireland,Rep. Ireland Airtricity League
16280,Luka Mijaljevic,L. Mijaljevic,AFC Eskilstuna,23,Sweden,Swedish Allsvenskan
16281,Pavle Alexander Nadj,A. Nadj,BK Häcken,33,Sweden,Swedish Allsvenskan
16282,Ryan Anthony Lloyd,R. Lloyd,Port Vale,22,England,English League Two
16283,Adebayo Linford Kazim Azeez,A. Azeez,Newport County,14,England,English League Two
16284,John Kavanagh,J. Kavanagh,Waterford FC,24,Republic of Ireland,Rep. Ireland Airtricity League
16285,Michael Barker,M. Barker,Bohemian FC,23,Republic of Ireland,Rep. Ireland Airtricity League
16286,Mathias Fredriksen,M. Fredriksen,Mjøndalen IF,15,Norway,Norwegian Eliteserien
16287,Daniel O'Reilly,D. O'Reilly,Finn Harps,3,Republic of Ireland,Rep. Ireland Airtricity League
16288,Andreas Hansen,A. Hansen,Aalborg BK,22,Denmark,Danish Superliga
16289,Dominik Budzyński,D. Budzyński,ŁKS Łódź,33,Poland,Polish T-Mobile Ekstraklasa
16290,Charles Terence Priestley Vernam,C. Vernam,Grimsby Town,18,England,English League Two
16291,Joshua Darren Hare,J. Hare,Bristol Rovers,22,England,English League One
16292,이창용 李长勇,Lee Chang Yong,Seongnam FC,4,Korea Republic,Korean K League 1
16293,Louis Tyler John,L. John,Cambridge United,15,England,English League Two
16294,Jacob Dominico Borg,J. Borg,Finn Harps,4,Malta,Rep. Ireland Airtricity League
16295,James Aaron Kellermann,J. Kellermann,St. Mirren,17,England,Scottish Premiership
16296,Andrea Tripicchio,A. Tripicchio,Crotone,34,Italy,Italian Serie B
16297,Marco Albertoni,M. Albertoni,Genoa,33,Italy,Italian Serie A
16298,Hampus Svensson,H. Svensson,Falkenbergs FF,3,Sweden,Swedish Allsvenskan
16299,向汉天,Xiang Hantian,Beijing Renhe FC,16,China PR,Chinese Super League
16300,朱晓刚,Zhu Xiaogang,Dalian Professional Football Club,6,China PR,Chinese Super League
16301,Nikita Haikin,N. Haikin,FK Bodø/Glimt,12,Russia,Norwegian Eliteserien
16302,Harvey Isted,H. Isted,Luton Town,40,England,English League Championship
16303,김영빈 金永斌,Kim Young Bin,Sangju Sangmu FC,2,Korea Republic,Korean K League 1
16304,Jake Elliott Beesley,J. Beesley,Salford City,29,England,English League Two
16305,Alex William Purver,A. Purver,Östersunds FK,15,England,Swedish Allsvenskan
16306,王耀鹏,Wang Yaopeng,Dalian Professional Football Club,13,China PR,Chinese Super League
16307,孙乐,Sun Le,Shanghai Port FC,22,China PR,Chinese Super League
16308,王大龙,Wang Dalong,Shenzhen FC,29,China PR,Chinese Super League
16309,孙峻岗,Sun Jungang,Shanghai Port FC,39,China PR,Chinese Super League
16310,Nicolás Araya Bruna,N. Araya,CD Antofagasta,25,Chile,Chilian Campeonato Nacional
16311,Steve Shamal,S. Shamal,Stade de Reims,36,France,French Ligue 1
16312,Diego Andrés Tapia Rojas,D. Tapia,Curicó Unido,22,Chile,Chilian Campeonato Nacional
16313,Jack Anthony Charles William Sowerby,J. Sowerby,Fleetwood Town,28,England,English League One
16314,Steven Boyd,S. Boyd,Hamilton Academical FC,30,Scotland,Scottish Premiership
16315,Jermaine Samuel Hylton,J. Hylton,Motherwell,14,England,Scottish Premiership
16316,王国明,Wang Guoming,Henan Songshan Longmen FC,19,China PR,Chinese Super League
16317,Shaun Daniel McWilliams,S. McWilliams,Northampton Town,17,England,English League Two
16318,Scott Allardice,S. Allardice,Bohemian FC,6,Scotland,Rep. Ireland Airtricity League
16319,Georgie Kelly,G. Kelly,Dundalk FC,12,Republic of Ireland,Rep. Ireland Airtricity League
16320,Eric Bird,E. Bird,Houston Dynamo,25,United States,USA Major League Soccer
16321,Dominic Archie Bernard,D. Bernard,Forest Green Rovers,3,England,English League Two
16322,Zachary Herivaux,Z. Herivaux,New England Revolution,21,Haiti,USA Major League Soccer
16323,William Guy Collar,W. Collar,Hamilton Academical FC,7,England,Scottish Premiership
16324,Karahan Yasir Subaşı,Y. Subaşı,Yukatel Kayserispor,32,Turkey,Turkish Süper Lig
16325,Robbie Cundy,R. Cundy,Exeter City,28,England,English League Two
16326,Rekeil Leshaun Pyke,R. Pyke,Rochdale,11,England,English League One
16327,William Jääskeläinen,W. Jääskeläinen,Crewe Alexandra,1,Finland,English League Two
16328,Nicholas Antero Hämäläinen,N. Hämäläinen,Queens Park Rangers,28,Finland,English League Championship
16329,Nicolas Hunziker,N. Hunziker,FC Thun,35,Switzerland,Swiss Super League
16330,Canice Michael Carroll,C. Carroll,Carlisle United,4,Republic of Ireland,English League Two
16331,Josh Pask,J. Pask,Coventry City,16,England,English League One
16332,Cian Coleman,C. Coleman,St. Patrick's Athletic,23,Republic of Ireland,Rep. Ireland Airtricity League
16333,Jaman Abdullah Al Dossary,J. Al Dossary,Al Fateh,39,Saudi Arabia,Saudi Abdul L. Jameel League
16334,Aubin Pierre Joseph Long,A. Long,FC Sochaux-Montbéliard,40,France,French Ligue 2
16335,路尧,Lu Yao,Henan Songshan Longmen FC,27,China PR,Chinese Super League
16336,黄博文,Huang Bowen,Wuhan FC,2,China PR,Chinese Super League
16337,James Doona,J. Doona,St. Patrick's Athletic,11,Republic of Ireland,Rep. Ireland Airtricity League
16338,Kosta Petratos,K. Petratos,Newcastle Jets,19,Australia,Australian Hyundai A-League
16339,김우석 金武胜,Kim Woo Suk,Daegu FC,3,Korea Republic,Korean K League 1
16340,Javier Alexis Orobio Rincón,J. Orobio,Atlético Bucaramanga,26,Colombia,Colombian Liga Postobón
16341,Marwan Al Haidari,M. Al Haidari,Al Shabab,23,Saudi Arabia,Saudi Abdul L. Jameel League
16342,上原 力也,R. Uehara,Júbilo Iwata,30,Japan,Japanese J. League Division 1
16343,Charlie Mark Wakefield,C. Wakefield,Coventry City,44,England,English League One
16344,Joshua William Grant,J. Grant,Plymouth Argyle,25,England,English League Two
16345,Ayotomiwa Dele-Bashiru,T. Dele-Bashiru,Watford,24,Nigeria,English Premier League
16346,Niklas Klinger,N. Klinger,VfL Wolfsburg,30,Germany,German 1. Bundesliga
16347,Santiago Jiménez Mejía,S. Jiménez,Envigado FC,15,Colombia,Colombian Liga Postobón
16348,Octavio Rafael Patiño Ricardo,O. Patiño,Rionegro Águilas,40,Colombia,Colombian Liga Postobón
16349,Robert Harker,R. Harker,Burnley,47,England,English Premier League
16350,Callum Maycock,C. Maycock,Coventry City,28,England,English League One
16351,Keiran Evans,K. Evans,Swansea City,37,Wales,English League Championship
16352,Tyreeq Bakinson,T. Bakinson,Bristol City,27,England,English League Championship
16353,Harry William Phillips,H. Phillips,Southend United,51,England,English League One
16354,吴伟,Wu Wei,Tianjin Quanjian FC,2,China PR,Chinese Super League
16355,Matthew James Platt,M. Platt,Blackburn Rovers,36,England,English League Championship
16356,Laurence Bilboe,L. Bilboe,Rotherham United,30,England,English League One
16357,Mads Kaalund Larsen,M. Kaalund,Silkeborg IF,17,Denmark,Danish Superliga
16358,Harry Louis Clifton,H. Clifton,Grimsby Town,15,Wales,English League Two
16359,Charles Alfred Rowan,C. Rowan,Queens Park Rangers,39,England,English League Championship
16360,Simon Enzler,S. Enzler,FC Luzern,23,Switzerland,Swiss Super League
16361,Ryan Henry East,R. East,Reading,32,England,English League Championship
16362,Kyron Stabana,K. Stabana,AFC Wimbledon,14,England,English League One
16363,Hubert Gostomski,H. Gostomski,Jagiellonia Białystok,33,Poland,Polish T-Mobile Ekstraklasa
16364,Kevin Lynch,K. Lynch,Waterford FC,3,Republic of Ireland,Rep. Ireland Airtricity League
16365,Joao Paulo Castanheira,J. Castanheira,Servette FC,26,Switzerland,Swiss Super League
16366,Michael Fabrie,M. Fabrie,Sparta Rotterdam,30,Netherlands,Holland Eredivisie
16367,Hassan Mohammed Hussain Raghfawi,H. Raghfawi,Damac FC,12,Saudi Arabia,Saudi Abdul L. Jameel League
16368,Sam Todd,S. Todd,Finn Harps,22,Republic of Ireland,Rep. Ireland Airtricity League
16369,Harry Pickering,H. Pickering,Crewe Alexandra,3,England,English League Two
16370,Thomas Richard Lowery,T. Lowery,Crewe Alexandra,16,England,English League Two
16371,Jacob Bedeau,J. Bedeau,Scunthorpe United,32,England,English League Two
16372,Antonio Esteban Ramírez Cuevas,A. Ramírez,CD Universidad de Concepción,32,Chile,Chilian Campeonato Nacional
16373,Danny Amos,D. Amos,Doncaster Rovers,16,England,English League One
16374,Justin Eric Vom Steeg,J. Vom Steeg,LA Galaxy,41,United States,USA Major League Soccer
16375,Devante Darrius Rodney,D. Rodney,Salford City,21,England,English League Two
16376,Khamis Digol N'Dozangue,K. Digol,ESTAC Troyes,32,France,French Ligue 2
16377,Jake Vokins,J. Vokins,Southampton,30,England,English Premier League
16378,Diaz Wright,D. Wright,Colchester United,16,England,English League Two
16379,Joseph Christopher Sbarra,J. Sbarra,Burton Albion,14,England,English League One
16380,Anel Ahmedhodzic,A. Ahmedhodzic,Hobro IK,5,Sweden,Danish Superliga
16381,Pontus Almqvist,P. Almqvist,IFK Norrköping,16,Sweden,Swedish Allsvenskan
16382,Tristan Michael Alexander Abrahams,T. Abrahams,Newport County,15,England,English League Two
16383,Ryan Thomas Cooney,R. Cooney,Burnley,43,England,English Premier League
16384,Mohammed Ali Al-Zubaidi,M. Al Zubaidi,Al Hazem,13,Saudi Arabia,Saudi Abdul L. Jameel League
16385,Ramón Pasquel Colin,R. Pasquel,Deportivo Toluca,12,Mexico,Mexican Liga MX
16386,이재형 李在衡,Lee Jae Hyeong,Jeonbuk Hyundai Motors,41,Korea Republic,Korean K League 1
16387,Ryan Schofield,R. Schofield,Huddersfield Town,31,England,English League Championship
16388,Paul James Lewis,P. Lewis,Cambridge United,22,England,English League Two
16389,ポープ・ウィリアム,W. Popp,Oita Trinita,31,Japan,Japanese J. League Division 1
16390,Bryan Lasme,B. Lasme,FC Sochaux-Montbéliard,15,France,French Ligue 2
16391,Agim Zeka,A. Zeka,Fortuna Sittard,33,Albania,Holland Eredivisie
16392,Giacomo Poluzzi,G. Poluzzi,SPAL,17,Italy,Italian Serie A
16393,Alex Samuel Fletcher,A. Fletcher,Plymouth Argyle,29,England,English League Two
16394,Dane James Ingham,D. Ingham,Perth Glory,23,New Zealand,Australian Hyundai A-League
16395,Hassan Mousa Alqayd,H. Al Geed,Al Shabab,28,Saudi Arabia,Saudi Abdul L. Jameel League
16396,Josh Bowler,J. Bowler,Hull City,19,England,English League Championship
16397,Sherwin Dandery Seedorf,S. Seedorf,Motherwell,11,Netherlands,Scottish Premiership
16398,Daniel Harry Kemp,D. Kemp,West Ham United,44,England,English Premier League
16399,Josh Hope,J. Hope,Melbourne Victory,16,Australia,Australian Hyundai A-League
16400,John George McAtee,J. McAtee,Scunthorpe United,45,England,English League Two
16401,Jack Kiersey,J. Kiersey,Walsall,18,England,English League Two
16402,Orhan Vojić,O. Vojić,Shamrock Rovers,34,Austria,Rep. Ireland Airtricity League
16403,Bandar Baajaj,B. Baajaj,Damac FC,5,Saudi Arabia,Saudi Abdul L. Jameel League
16404,James Delianov,J. Delianov,Western United FC,20,Australia,Australian Hyundai A-League
16405,Lagos Kunga,L. Kunga,Atlanta United,23,United States,USA Major League Soccer
16406,Eoin Toal,E. Toal,Derry City,15,Northern Ireland,Rep. Ireland Airtricity League
16407,丛震,Cong Zhen,Shanghai Shenhua FC,38,China PR,Chinese Super League
16408,Michael Lansing,M. Lansing,AC Horsens,22,United States,Danish Superliga
16409,Mirlind Kryeziu,M. Kryeziu,FC Zürich,31,Kosovo,Swiss Super League
16410,Lorenzo Polvani,L. Polvani,Empoli,15,Italy,Italian Serie B
16411,Sebastián Felipe Silva Lavanderos,S. Silva,Club Deportivo Palestino,3,Chile,Chilian Campeonato Nacional
16412,Christoph Ehlich,C. Ehlich,SpVgg Unterhaching,33,Germany,German 3. Bundesliga
16413,Richard Bennett,R. Bennett,Port Vale,21,England,English League Two
16414,Dylan Duncan,D. Duncan,Queens Park Rangers,36,England,English League Championship
16415,Harry William Brockbank,H. Brockbank,Bolton Wanderers,21,England,English League One
16416,Max Johnstone,M. Johnstone,St. Johnstone FC,21,England,Scottish Premiership
16417,Lennard Maloney,L. Maloney,1. FC Union Berlin,33,Germany,German 1. Bundesliga
16418,Luke Eugene Carroll-Burgess,L. Burgess,Wigan Athletic,43,England,English League Championship
16419,Malachi Napa,M. Napa,Oxford United,21,England,English League One
16420,Shandon Baptiste,S. Baptiste,Oxford United,16,Grenada,English League One
16421,Jordan Paul Hallam,J. Hallam,Scunthorpe United,18,England,English League Two
16422,Cameron Yates,C. Yates,Wycombe Wanderers,13,Scotland,English League One
16423,Ross Callachan,R. Callachan,St. Johnstone FC,4,Scotland,Scottish Premiership
16424,Pascal Petlach,P. Petlach,FC Flyeralarm Admira,23,Austria,Austrian Football Bundesliga
16425,Alexander Ballegaard Ammitzbøll,A. Ammitzbøll,Aarhus GF,38,Denmark,Danish Superliga
16426,安井 拓也,T. Yasui,Vissel Kobe,35,Japan,Japanese J. League Division 1
16427,Apostolos Stamatelopoulos,A. Stamatelopoulos,Western United FC,9,Australia,Australian Hyundai A-League
16428,姜文骏,Jiang Wenjun,Hebei FC,26,China PR,Chinese Super League
16429,苏缘杰,Su Yuanjie,Tianjin Jinmen Tiger FC,32,China PR,Chinese Super League
16430,James Samuel Morton,J. Morton,Forest Green Rovers,15,England,English League Two
16431,Adam Mark Crookes,A. Crookes,Port Vale,3,England,English League Two
16432,Cristian Darío Barrios Puertas,C. Barrios,Patriotas Boyacá FC,7,Colombia,Colombian Liga Postobón
16433,Kasper Thiesson Kristensen,K. Kristensen,Aarhus GF,31,Denmark,Danish Superliga
16434,Patrick Kirk,P. Kirk,Bohemian FC,22,Republic of Ireland,Rep. Ireland Airtricity League
16435,Jamie Daniel Mascoll,J. Mascoll,Wycombe Wanderers,15,England,English League One
16436,Sami Ben Amar,S. Ben Amar,Nîmes Olympique,24,Morocco,French Ligue 1
16437,Saad Al Selouli,S. Al Selouli,Ettifaq FC,88,Saudi Arabia,Saudi Abdul L. Jameel League
16438,Amer Ordagić,A. Ordagić,SK Brann,10,Bosnia and Herzegovina,Norwegian Eliteserien
16439,Arian Kabashi,A. Kabashi,IF Elfsborg,25,Sweden,Swedish Allsvenskan
16440,Harrison Biggins,H. Biggins,Fleetwood Town,27,England,English League One
16441,Mathias Karlsson,M. Karlsson,Örebro SK,30,Sweden,Swedish Allsvenskan
16442,Abdulquddus Attiah,A. Attiah,Al Wehda,13,Saudi Arabia,Saudi Abdul L. Jameel League
16443,Luca Ashby-Hammond,L. Ashby-Hammond,Fulham,41,England,English League Championship
16444,姚均晟,Yao Junsheng,Tianjin Quanjian FC,8,China PR,Chinese Super League
16445,Mathias Alain Fischer,M. Fischer,AS Nancy Lorraine,2,France,French Ligue 2
16446,Joshua Gaston Kitolano,J. Kitolano,Odds BK,16,Norway,Norwegian Eliteserien
16447,Enzo Agustín Manzur,A. Manzur,Godoy Cruz,16,Argentina,Argentina Primera División
16448,Ramzi Solan,R. Solan,Al Faisaly,15,Saudi Arabia,Saudi Abdul L. Jameel League
16449,富居 大樹,D. Tomii,Shonan Bellmare,21,Japan,Japanese J. League Division 1
16450,金子 大毅,D. Kaneko,Shonan Bellmare,19,Japan,Japanese J. League Division 1
16451,Sergio Rafael Pabón Barros,S. Pabón,Junior FC,22,Colombia,Colombian Liga Postobón
16452,Oladapo Joshua Afolayan,O. Afolayan,West Ham United,50,England,English Premier League
16453,Michael Collins,M. Collins,Sunderland,45,Republic of Ireland,English League One
16454,Callum Damian Peter Morton,C. Morton,West Bromwich Albion,35,England,English League Championship
16455,김준범 Joon Beom Kim,Kim Joon Beom,Gyeongnam FC,13,Korea Republic,Korean K League 1
16456,박광일 Kwang Il Park,Park Kwang Il,Gyeongnam FC,2,Korea Republic,Korean K League 1
16457,이현식 Hyeon-Sik Lee,Lee Hyun Sik,Gangwon FC,29,Korea Republic,Korean K League 1
16458,Barry Maguire,B. Maguire,Motherwell,15,Scotland,Scottish Premiership
16459,Jarno De Smet,J. De Smet,KV Kortrijk,12,Belgium,Belgian Jupiler Pro League
16460,İlker Karakaş,İ. Karakaş,Gençlerbirliği SK,41,Turkey,Turkish Süper Lig
16461,James Michael Neil Clarke,J. Clarke,Mansfield Town,21,Republic of Ireland,English League Two
16462,Onur Ünlüçifçi,O. Ünlüçifçi,SG Sonnenhof Großaspach,36,Germany,German 3. Bundesliga
16463,Adrián Estacio Peña,A. Estacio,Once Caldas,31,Colombia,Colombian Liga Postobón
16464,Franco Lionel Godoy Milessi,F. Godoy,Unión de Santa Fe,24,Argentina,Argentina Primera División
16465,榎本 大輝,D. Enomoto,Nagoya Grampus,28,Japan,Japanese J. League Division 1
16466,Aidan Thomas Stone,A. Stone,Mansfield Town,31,England,English League Two
16467,Djed Spence,D. Spence,Middlesbrough,29,England,English League Championship
16468,Victor Glaentzlin,V. Glaentzlin,FC Sochaux-Montbéliard,31,France,French Ligue 2
16469,Denis Jäpel,D. Jäpel,FSV Zwickau,21,Germany,German 3. Bundesliga
16470,Robert Lee Burton,R. Burton,Arsenal,41,Wales,English Premier League
16471,Jan-Lukas Funke,J. Funke,Viktoria Köln,30,Germany,German 3. Bundesliga
16472,Leon Brüggemeier,L. Brüggemeier,SC Paderborn 07,34,Germany,German 1. Bundesliga
16473,Marian Prinz,M. Prinz,SC Preußen Münster,19,Germany,German 3. Bundesliga
16474,Liridon Mulaj,L. Mulaj,Neuchâtel Xamax FCS,28,Switzerland,Swiss Super League
16475,Carlos Gutiérrez Estefa,C. Gutiérrez,Club Atlético de San Luis,14,Mexico,Mexican Liga MX
16476,Christopher Giuliani,C. Giuliani,SK Sturm Graz,41,Austria,Austrian Football Bundesliga
16477,Tobias Koch,T. Koch,SK Sturm Graz,22,Austria,Austrian Football Bundesliga
16478,Mario Alejandro Trejo Castro,M. Trejo,Monarcas Morelia,34,Mexico,Mexican Liga MX
16479,Joshua Janos Gregor Steiger,J. Steiger,RZ Pellets Wolfsberger AC,17,Austria,Austrian Football Bundesliga
16480,Kevin Castañeda Vargas,K. Castañeda,Deportivo Toluca,97,Mexico,Mexican Liga MX
16481,Giacomo Volpe,G. Volpe,US Cremonese,12,Italy,Italian Serie B
16482,Sam John Woods,S. Woods,Crystal Palace,35,England,English Premier League
16483,Dong-Gyeong Lee,Lee Dong Kyung,Ulsan Hyundai FC,15,Korea Republic,Korean K League 1
16484,최영은 Young Eun Choi,Choi Young Eun,Daegu FC,1,Korea Republic,Korean K League 1
16485,Mohammed Ahmed Alhaeti,M. Al Haeti,Ettifaq FC,35,Saudi Arabia,Saudi Abdul L. Jameel League
16486,Patryk Plewka,P. Plewka,Wisła Kraków,80,Poland,Polish T-Mobile Ekstraklasa
16487,Mateusz Hołownia,M. Hołownia,Śląsk Wrocław,20,Poland,Polish T-Mobile Ekstraklasa
16488,Giuliano Galoppo,G. Galoppo,Club Atlético Banfield,18,Argentina,Argentina Primera División
16489,Remigiusz Borkała,R. Borkała,Piast Gliwice,29,Poland,Polish T-Mobile Ekstraklasa
16490,Santiago Tomás Giménez,S. Giménez,Cruz Azul,29,Mexico,Mexican Liga MX
16491,Uğurcan Yazğılı,U. Yazğılı,Kasimpaşa SK,4,Turkey,Turkish Süper Lig
16492,Ilan Benjamin Sauter,I. Sauter,FC Zürich,34,Switzerland,Swiss Super League
16493,Marvin Kokos,M. Kokos,Oldham Athletic,21,France,English League Two
16494,伊藤 研太,K. Ito,Shimizu S-Pulse,35,Japan,Japanese J. League Division 1
16495,Nawaf Al Farshan,N. Al Farshan,Al Nassr,25,Saudi Arabia,Saudi Abdul L. Jameel League
16496,Dawid Pakulski,D. Pakulski,Zagłębie Lubin,13,Poland,Polish T-Mobile Ekstraklasa
16497,Emil Konradsen Ceïde,E. Ceide,Rosenborg BK,35,Norway,Norwegian Eliteserien
16498,Osman Yaman,O. Yaman,Demir Grup Sivasspor,73,Turkey,Turkish Süper Lig
16499,Jesper Grænge Lindstrøm,J. Lindstrøm,Brøndby IF,35,Denmark,Danish Superliga
16500,Benjamín Nicolás Rivera Silva,B. Rivera,CD Everton de Viña del Mar,2,Chile,Chilian Campeonato Nacional
16501,Hassan Mohammed Al-Tambakti,H. Tombakti,Al Shabab,4,Saudi Arabia,Saudi Abdul L. Jameel League
16502,Moussa Soumaré,M. Soumaré,La Berrichonne de Châteauroux,2,France,French Ligue 2
16503,Karol Stanek,K. Stanek,Piast Gliwice,99,Poland,Polish T-Mobile Ekstraklasa
16504,Jeison Stiven Truque Lucumí,J. Truque,Once Caldas,35,Colombia,Colombian Liga Postobón
16505,Joseph Gelhardt,J. Gelhardt,Wigan Athletic,38,England,English League Championship
16506,Jensen Guy Weir,J. Weir,Wigan Athletic,39,England,English League Championship
16507,Samuel Jamieson,S. Jamieson,St. Mirren,13,Scotland,Scottish Premiership
16508,Alfie Bates,A. Bates,Walsall,20,England,English League Two
16509,Léo Louis Seydoux,L. Seydoux,Neuchâtel Xamax FCS,16,Switzerland,Swiss Super League
16510,Mounaïm El Idrissy,M. El Idrissy,AC Ajaccio,36,France,French Ligue 2
16511,Samir Bouzar Essaidi,S. Bouzar,AS Nancy Lorraine,32,France,French Ligue 2
16512,Mohamed Daramy,M. Daramy,F.C. København,11,Sierra Leone,Danish Superliga
16513,James Thomas Rowland,J. Rowland,Shrewsbury Town,26,England,English League One
16514,Mergim Laci,M. Laci,Falkenbergs FF,19,Sweden,Swedish Allsvenskan
16515,Aaron Reardon,A. Reardon,Brisbane Roar,15,Australia,Australian Hyundai A-League
16516,Guillaume Laurent Dietsch,G. Dietsch,FC Metz,30,France,French Ligue 1
16517,Aldhair Fernando Molina Fabián,A. Molina,Puebla FC,89,Mexico,Mexican Liga MX
16518,Alexis Hazael Gutiérrez Torres,A. Gutiérrez,Cruz Azul,20,Mexico,Mexican Liga MX
16519,Santeri Väänänen,S. Väänänen,HJK Helsinki,50,Finland,Rest of World
16520,中山 仁斗,M. Nakayama,Júbilo Iwata,32,Japan,Japanese J. League Division 1
16521,岩武 克弥,K. Iwatake,Urawa Red Diamonds,28,Japan,Japanese J. League Division 1
