,rag,common_entity,entity1,entity2,entity3,entity4,rag_text
15028,Mateusz Młyński,M. Młyński,Arka Gdynia,35,Poland,Polish T-Mobile Ekstraklasa,
15029,Scott Tiffoney,S. Tiffoney,Livingston FC,22,Scotland,Scottish Premiership,
15030,Montassar Omar Talbi,M. Talbi,Çaykur Rizespor,4,France,Turkish Süper Lig,
15031,Marash Kumbulla,M. Kumbulla,Hellas Verona,24,Albania,Italian Serie A,
15032,Seth Paintsil,S. Paintsil,FC Flyeralarm Admira,21,Ghana,Austrian Football Bundesliga,
15033,Juan Francisco Galetto,J. Galetto,Patronato,35,Argentina,Argentina Primera División,
15034,Abdulbasit Ali Al-Hindi,A. Hindi,Al Ahli,37,Saudi Arabia,Saudi Abdul L. Jameel League,
15035,Hamed Al Maqati,H. Al Maqati,Al Hazem,8,Saudi Arabia,Saudi Abdul L. Jameel League,
15036,James Scott,J. Scott,Motherwell,17,Scotland,Scottish Premiership,
15037,Pablo Lombo Suárez,Lombo,CD Leganés,34,Spain,Spain Primera Division,
15038,Mouhamed Menaour Belkheir,M. Belkheir,Torino F.C.,37,Algeria,Italian Serie A,
15039,Alessandro Vogliacco,A. Vogliacco,Pordenone,5,Italy,Italian Serie B,
15040,Sergio Pérez Jaén,Sergio,Cádiz CF,31,Spain,Spanish Segunda División,
15041,Maarten Rieder,M. Rieder,ADO Den Haag,21,Netherlands,Holland Eredivisie,
15042,Antoine Baroan,A. Baroan,Chamois Niortais Football Club,20,France,French Ligue 2,
15043,Erik Majetschak,E. Majetschak,FC Erzgebirge Aue,16,Germany,German 2. Bundesliga,
15044,Danilo Quaranta,D. Quaranta,Ascoli,15,Italy,Italian Serie B,
15045,Felix Schwarzholz,F. Schwarzholz,FC Augsburg,33,Germany,German 1. Bundesliga,
15046,Jeison Estiven Quiñónes Botina,J. Quiñones,Rionegro Águilas,16,Colombia,Colombian Liga Postobón,
15047,Alessandro Tripaldelli,A. Tripaldelli,U.S. Sassuolo Calcio,33,Italy,Italian Serie A,
15048,Alessandro Bacci,A. Bacci,Ascoli,12,Italy,Italian Serie B,
15049,Malik Batmaz,M. Batmaz,Karlsruher SC,31,Turkey,German 2. Bundesliga,
15050,Valentin Gendrey,V. Gendrey,Amiens SC,35,France,French Ligue 1,
15051,Stefan Bajic,S. Bajic,AS Saint-Étienne,50,France,French Ligue 1,
15052,Juan Sebastián Peñaloza Ragga,J. Peñaloza,SD Huesca,29,Colombia,Spanish Segunda División,
15053,Näis Djouahra,N. Djouahra,Real Sociedad,27,France,Spain Primera Division,
15054,Ezequiel Eduardo Bullaude,E. Bullaude,Godoy Cruz,33,Argentina,Argentina Primera División,
15055,Aleksey Mironov,A. Mironov,FC Lokomotiv Moscow,83,Russia,Rest of World,
15056,Manuel Navarro Sánchez,Manu Navarro,Rayo Vallecano,33,Spain,Spanish Segunda División,
15057,山口 瑠伊,L. Yamaguchi,Extremadura UD,28,Japan,Spanish Segunda División,
15058,Federico Darío Navarro,F. Navarro,Club Atlético Talleres,5,Argentina,Argentina Primera División,
15059,Richie Ephraim Musaba,R. Musaba,Vitesse,38,Netherlands,Holland Eredivisie,
15060,Fabrice Daniel Hartmann,F. Hartmann,RB Leipzig,35,Germany,German 1. Bundesliga,
15061,Dušan Vlahović,D. Vlahovic,Fiorentina,28,Serbia,Italian Serie A,
15062,Alin Ilie Dudea,A. Dudea,AFC Chindia Târgoviște,17,Romania,Romanian Liga I,
15063,Ángel Algobia Esteves,Algobia,Rayo Vallecano,32,Spain,Spanish Segunda División,
15064,Benjamin Hadžić,B. Hadžić,Hannover 96,29,Bosnia and Herzegovina,German 2. Bundesliga,
15065,Romain Sans,R. Sans,FC Sochaux-Montbéliard,19,France,French Ligue 2,
15066,Sean Mackie,S. Mackie,Hibernian,43,Scotland,Scottish Premiership,
15067,児玉 剛,T. Kodama,FC Tokyo,1,Japan,Japanese J. League Division 1,
15068,Diego Abella Calleja,D. Abella,Puebla FC,20,Mexico,Mexican Liga MX,
15069,Jens Buss Barrios,J. Buss,Curicó Unido,5,Chile,Chilian Campeonato Nacional,
15070,Kevin Cannavò,K. Cannavò,Empoli,77,Italy,Italian Serie B,
15071,Jerome Williams,J. Williams,Columbus Crew,33,United States,USA Major League Soccer,
15072,Neder Kaleth Hernández Medina,K. Hernández,CF Monterrey,90,Mexico,Mexican Liga MX,
15073,Érick Wiemberg Higuera,E. Wiemberg,Unión La Calera,20,Chile,Chilian Campeonato Nacional,
15074,有馬 幸太郎,K. Arima,Kashima Antlers,34,Japan,Japanese J. League Division 1,
15075,Nicolás Capaldo Toboas,N. Capaldo,Boca Juniors,14,Argentina,Argentina Primera División,
15076,松原 修平,S. Matsubara,Shonan Bellmare,25,Japan,Japanese J. League Division 1,
15077,Antón Escobar Tapiias,Antón,CD Lugo,28,Spain,Spanish Segunda División,
15078,Arjen van der Heide,A. van der Heide,SC Heerenveen,26,Netherlands,Holland Eredivisie,
15079,Dixon Stiven Rentería Mosquera,D. Rentería,Club Independiente Santa Fe,29,Colombia,Colombian Liga Postobón,
15080,Kadir Hodžić,K. Hodžić,AFC Eskilstuna,3,Sweden,Swedish Allsvenskan,
15081,Yahya Nader Moustafa Elsharif,Y. Nader,Al Ain FC,88,Egypt,Rest of World,
15082,Hamad Abdulla Nasser Abdulla Almansoori,H. Al Mansoury,Al Ain FC,12,United Arab Emirates,Rest of World,
15083,Jeremiah Gutjahr,J. Gutjahr,Chicago Fire Football Club,33,United States,USA Major League Soccer,
15084,Boris Sébastien Moltenis,B. Moltenis,FC Sochaux-Montbéliard,23,France,French Ligue 2,
15085,Hernán Camilo Luna Gómez,H. Luna,Club Unión Magdalena S.A,8,Colombia,Colombian Liga Postobón,
15086,John Junior Igbarumah,J. Igbarumah,IK Sirius,21,Nigeria,Swedish Allsvenskan,
15087,Jean Lucas Rivera Murillo,J. Rivera,Atlético Nacional,14,Colombia,Colombian Liga Postobón,
15088,明天,Ming Tian,Wuhan FC,15,China PR,Chinese Super League,
15089,Bojan Čečarić,B. Čečarić,Cracovia,29,Serbia,Polish T-Mobile Ekstraklasa,
15090,Robert Mudražija,R. Mudražija,F.C. København,24,Croatia,Danish Superliga,
15091,Ishmael Baidoo,I. Baidoo,Górnik Zabrze,11,Ghana,Polish T-Mobile Ekstraklasa,
15092,Nikola Mirković,N. Mirković,SønderjyskE,1,Serbia,Danish Superliga,
15093,Jasser Khemiri,J. Khmiri,Vancouver Whitecaps FC,20,Tunisia,USA Major League Soccer,
15094,Jacobo Escobar Gómez,J. Escobar,Rionegro Águilas,22,Colombia,Colombian Liga Postobón,
15095,Musah Nuhu,M. Nuhu,FC St. Gallen 1879,33,Ghana,Swiss Super League,
15096,Tom Ducrocq,T. Ducrocq,Racing Club de Lens,45,France,French Ligue 2,
15097,Rodrigo Sergio Cabrera Sasía,R. Cabrera,Club de Deportes Cobresal,2,Uruguay,Chilian Campeonato Nacional,
15098,Kévin Mouanga,K. Mouanga,Angers SCO,17,France,French Ligue 1,
15099,藤嶋 栄介,E. Fujishima,Kawasaki Frontale,23,Japan,Japanese J. League Division 1,
15100,Armel Bella-Kotchap,A. Bella-Kotchap,VfL Bochum 1848,37,Germany,German 2. Bundesliga,
15101,Andrés Óscar Ayala,A. Ayala,Estudiantes de La Plata,25,Argentina,Argentina Primera División,
15102,Paul Milton Glatzel,P. Glatzel,Liverpool,63,Germany,English Premier League,
15103,Kevin Javier Álvarez Hernández,K. Álvarez,IFK Norrköping,20,Honduras,Swedish Allsvenskan,
15104,Mathieu De Smet,M. De Smet,SV Zulte Waregem,29,Belgium,Belgian Jupiler Pro League,
15105,Ivan Tarasov,I. Tarasov,HJK Helsinki,20,Russia,Rest of World,
15106,Archie Boroughbridge,A. Boroughbridge,Bury,5,England,English League One,
15107,Oliver Rushfort,O. Rushfort,Bury,28,England,English League One,
15108,Adrian Melksham,A. Melksham,Bury,4,England,English League One,
15109,Harry Trewbridge,H. Trewbridge,Bury,7,England,English League One,
15110,Rashawn Stephen Dally,R. Dally,FC Cincinnati,81,Jamaica,USA Major League Soccer,
15111,Peter-Lee Vassell,P. Vassell,Los Angeles FC,11,Jamaica,USA Major League Soccer,
15112,Dehninio Muringen,D. Muringen,ADO Den Haag,15,Netherlands,Holland Eredivisie,
15113,Tobias Raschl,T. Raschl,Borussia Dortmund,37,Germany,German 1. Bundesliga,
15114,Rece Buckmaster,R. Buckmaster,New York Red Bulls,20,United States,USA Major League Soccer,
15115,Juan Manuel Sánchez de León,J. Sánchez de León,Racing Club,22,Argentina,Argentina Primera División,
15116,Rodrigo Iván González,R. González,Rosario Central,36,Argentina,Argentina Primera División,
15117,César Adrián Aguirre Puebla,C. Aguirre,Club Necaxa,90,Mexico,Mexican Liga MX,
15118,Roberto Romeo,R. Romeo,Gaz Metan Mediaş,24,Italy,Romanian Liga I,
15119,Lucian Mihai Dumitriu,L. Dumitriu,AFC Hermannstadt,44,Romania,Romanian Liga I,
15120,Iulian Laurențiu Popescu,L. Popescu,Universitatea Craiova,1,Romania,Romanian Liga I,
15121,Vlad Andrei Danale,V. Danale,CSM Politehnica Iași,18,Romania,Romanian Liga I,
15122,Cesar Rafael Haydar Villarreal,C. Haydar,Junior FC,3,Colombia,Colombian Liga Postobón,
15123,Elias Ramírez García,Elias Ramírez,RCD Mallorca,30,Spain,Spain Primera Division,
15124,Konstantin Maradishvili,K. Maradishvili,PFC CSKA Moscow,87,Russia,Rest of World,
15125,Víctor Christopher De Baunbaug,V. De Baunbag,RCD Mallorca,27,Spain,Spain Primera Division,
15126,Sebastian Guerra Soto,S. Soto,Hannover 96,16,United States,German 2. Bundesliga,
15127,Camilo Andrés Gainza Bernal,C. Gaínza,Deportes Iquique,26,Chile,Chilian Campeonato Nacional,
15128,Abdulaziz Saeed N Al Shahrani,A. Al Shahrani,Damac FC,10,Saudi Arabia,Saudi Abdul L. Jameel League,
15129,Alejandro Rey Lugilde,Alex Rey,CD Lugo,31,Spain,Spanish Segunda División,
15130,Ilia Iliev Gruev,I. Gruev,SV Werder Bremen,28,Bulgaria,German 1. Bundesliga,
15131,Johannes Handl,J. Handl,FK Austria Wien,46,Austria,Austrian Football Bundesliga,
15132,José Luis García Montes,J. García,Tigres U.A.N.L.,35,Mexico,Mexican Liga MX,
15133,정훈성 Hoon Sung Jung,Jung Hoon Sung,Incheon United FC,28,Korea Republic,Korean K League 1,
15134,이수빈 Soo Bin Lee,Lee Soo Bin,Pohang Steelers,57,Korea Republic,Korean K League 1,
15135,Roberto Jara Fernández,Jara,CD Numancia,30,Spain,Spanish Segunda División,
15136,Gassan Ahadme Yahyai,G. Ahadme,Norwich City,48,Morocco,English Premier League,
15137,長谷川 雄志,Y. Hasegawa,Oita Trinita,40,Japan,Japanese J. League Division 1,
15138,Timothé Nkada,T. Nkada,Stade de Reims,19,France,French Ligue 1,
15139,Aaron Hickey,A. Hickey,Heart of Midlothian,51,Scotland,Scottish Premiership,
15140,Moussa Diarra,M. Diarra,Toulouse Football Club,23,France,French Ligue 1,
15141,Patrick Obermüller,P. Obermüller,TSV Egger Glas Hartberg,26,Austria,Austrian Football Bundesliga,
15142,Erik Engelhardt,E. Engelhardt,F.C. Hansa Rostock,9,Germany,German 3. Bundesliga,
15143,李浩然,Li Haoran,Royal Antwerp FC,51,China PR,Belgian Jupiler Pro League,
15144,Leo Greiml,L. Greiml,SK Rapid Wien,30,Austria,Austrian Football Bundesliga,
15145,Frederik Alves Ibsen,F. Alves,Silkeborg IF,32,Denmark,Danish Superliga,
15146,Florian Egerer,F. Egerer,SV Meppen,16,Germany,German 3. Bundesliga,
15147,Javier Siverio Toro,Javi Siverio,Racing Santander,27,Spain,Spanish Segunda División,
15148,Benedict dos Santos,B. dos Santos,SV Waldhof Mannheim 07,21,Germany,German 3. Bundesliga,
15149,Jan Hendrik Marx,J. Marx,SV Waldhof Mannheim 07,26,Germany,German 3. Bundesliga,
15150,Jan Grzesik,J. Grzesik,ŁKS Łódź,21,Poland,Polish T-Mobile Ekstraklasa,
15151,Sascha Eichmeier,S. Eichmeier,Viktoria Köln,3,Germany,German 3. Bundesliga,
15152,Derrick Arthur Köhn,D. Köhn,FC Bayern München II,27,Germany,German 3. Bundesliga,
15153,Karlo Muhar,K. Muhar,Lech Poznań,6,Croatia,Polish T-Mobile Ekstraklasa,
15154,Anton Kanther,A. Kanther,1. FC Magdeburg,14,Germany,German 3. Bundesliga,
15155,Marvin Temp,M. Temp,1. FC Magdeburg,18,Germany,German 3. Bundesliga,
15156,Jesús Álvarez Aguado,Jesús Alvarez,Real Zaragoza,30,Spain,Spanish Segunda División,
15157,Denis Constantin Dumitrașcu,D. Dumitrașcu,AFC Chindia Târgoviște,80,Romania,Romanian Liga I,
15158,Vasile Olariu,V. Olariu,FC Academica Clinceni,8,Romania,Romanian Liga I,
15159,Paul Ioan Paţurcă,P. Pațurcă,FC Academica Clinceni,10,Romania,Romanian Liga I,
15160,Mateo Komar,M. Komar,Patronato,13,Argentina,Argentina Primera División,
15161,Elson José Dias Júnior,Elsinho,Fútbol Club Juárez,14,Brazil,Mexican Liga MX,
15162,Goodness Ohiremen Ajayi,G. Ajayi,AFC Astra Giurgiu,17,Nigeria,Romanian Liga I,
15163,Karam Ibrahim Mohammed Barnawi,K. Barnawi,Abha Club,6,Saudi Arabia,Saudi Abdul L. Jameel League,
15164,Bridge Ndilu,B. Ndilu,FC Nantes,22,France,French Ligue 1,
15165,Sandro Neurauter,S. Neurauter,WSG Tirol,19,Austria,Austrian Football Bundesliga,
15166,Yassin Ibrahim,Y. Ibrahim,FC Würzburger Kickers,19,Germany,German 3. Bundesliga,
15167,Slavko Perović,S. Perović,FC Dinamo 1948 Bucureşti,18,Serbia,Romanian Liga I,
15168,Mauro Alejandro Barraza,M. Barraza,Club Atlético Central Córdoba,7,Argentina,Argentina Primera División,
15169,Marcos Fabián Sánchez,M. Sánchez,Club Atlético Central Córdoba,6,Argentina,Argentina Primera División,
15170,Krševan Santini,K. Santini,Jagiellonia Białystok,28,Croatia,Polish T-Mobile Ekstraklasa,
15171,Thomas Leon Keller,T. Keller,FC Ingolstadt 04,27,Germany,German 3. Bundesliga,
15172,Juan Pablo Passaglia,J. Passaglia,CSM Politehnica Iași,8,Argentina,Romanian Liga I,
15173,Bryan Soumaré,B. Soumaré,Dijon FCO,8,France,French Ligue 1,
15174,Alexander Lungwitz,A. Lungwitz,SpVgg Greuther Fürth,36,Germany,German 2. Bundesliga,
15175,Woyo Coulibaly,W. Coulibaly,Le Havre AC,26,France,French Ligue 2,
15176,Kevin Ehlers,K. Ehlers,SG Dynamo Dresden,39,Germany,German 2. Bundesliga,
15177,Lukas Scepanik,L. Scepanik,MSV Duisburg,7,Germany,German 3. Bundesliga,
15178,Mark Depta,M. Depta,Viktoria Köln,13,Germany,German 3. Bundesliga,
15179,Michael Boris Guthörl,M. Guthörl,SV Wehen Wiesbaden,27,Germany,German 2. Bundesliga,
15180,Bartosz Bida,B. Bida,Jagiellonia Białystok,31,Poland,Polish T-Mobile Ekstraklasa,
15181,Thomas Sabitzer,T. Sabitzer,LASK Linz,33,Austria,Austrian Football Bundesliga,
15182,Muhannad Al Najai,M. Al Najai,Damac FC,18,Saudi Arabia,Saudi Abdul L. Jameel League,
15183,Johan Steven Gómez Moreno,J. Gómez,Cúcuta Deportivo,16,Colombia,Colombian Liga Postobón,
15184,Patrick Luan dos Santos,Patrick,FC Sion,31,Brazil,Swiss Super League,
15185,David Schnegg,D. Schnegg,LASK Linz,17,Austria,Austrian Football Bundesliga,
15186,Dean van der Sluijs,D. van der Sluys,RKC Waalwijk,25,Netherlands,Holland Eredivisie,
15187,Lorenzo Borri,L. Borri,Castellammare di Stabia,5,Italy,Italian Serie B,
15188,Nicholas Allievi,N. Allievi,Castellammare di Stabia,13,Italy,Italian Serie B,
15189,Darell Tokpa,D. Tokpa,Amiens SC,32,France,French Ligue 1,
15190,Ulrick Brad Eneme Ella,U. Eneme-Ella,Amiens SC,38,France,French Ligue 1,
15191,Adnan Ugur,A. Ugur,Fortuna Sittard,22,Belgium,Holland Eredivisie,
15192,Damiano Lia,D. Lia,Castellammare di Stabia,23,Italy,Italian Serie B,
15193,Alessandro Mallamo,A. Mallamo,Castellammare di Stabia,24,Italy,Italian Serie B,
15194,Salvatore Elia,S. Elia,Castellammare di Stabia,22,Italy,Italian Serie B,
15195,Gabriel Debeljuh,G. Debeljuh,AFC Hermannstadt,27,Croatia,Romanian Liga I,
15196,Milan Radin,M. Radin,Korona Kielce,8,Serbia,Polish T-Mobile Ekstraklasa,
15197,Szabolcs István Kilyén,S. Kilyén,Sepsi OSK Sf. Gheorghe,2,Romania,Romanian Liga I,
15198,Ufuk Akyol,U. Akyol,Antalyaspor,19,Germany,Turkish Süper Lig,
15199,Ali Maadi,A. Maadi,Al Faisaly,13,Saudi Arabia,Saudi Abdul L. Jameel League,
15200,Abu Francis,A. Francis,FC Nordsjælland,41,Ghana,Danish Superliga,
15201,Mihai Velisar,M. Velisar,Gaz Metan Mediaş,98,Romania,Romanian Liga I,
15202,Waniss Taïbi,W. Taïbi,Angers SCO,31,France,French Ligue 1,
15203,Robert Sorin Neciu,R. Neciu,AFC Chindia Târgoviște,99,Romania,Romanian Liga I,
15204,Raul Hreniuc,R. Hreniuc,Universitatea Craiova,20,Romania,Romanian Liga I,
15205,Albert Tivadar Stahl,A. Stahl,AFC Astra Giurgiu,77,Romania,Romanian Liga I,
15206,Carlo Crialese,C. Crialese,Virtus Entella Chiavari,48,Italy,Italian Serie B,
15207,Matthieu Huard,M. Huard,AC Ajaccio,23,France,French Ligue 2,
15208,Aldo Agustín Maíz Gill,A. Maiz,Defensa y Justicia,25,Paraguay,Argentina Primera División,
15209,Rıdvan Yılmaz,R. Yilmaz,Beşiktaş JK,29,Turkey,Turkish Süper Lig,
15210,Soltmurad Bakaev,S. Bakaev,Spartak Moskva,5,Russia,Rest of World,
15211,Alan Agustín Velasco,A. Velasco,Club Atlético Independiente,9,Argentina,Argentina Primera División,
15212,Pablo Barredo Calvo,Barredo,SD Ponferradina,26,Spain,Spanish Segunda División,
15213,Niklas Kölle,N. Kölle,1. FSV Mainz 05,32,Germany,German 1. Bundesliga,
15214,Lukas Ried,L. Ried,TSV Egger Glas Hartberg,27,Austria,Austrian Football Bundesliga,
15215,Christy Manzinga,C. Manzinga,Motherwell,12,France,Scottish Premiership,
15216,Christian Mora,C. Mora,Cittadella,86,Italy,Italian Serie B,
15217,Ismael Gutiérrez Montilla,Ismael,Real Betis Balompié,27,Spain,Spain Primera Division,
15218,Florian Michel,F. Michel,Grenoble Foot 38,33,France,French Ligue 2,
15219,Carlos Kevin Omoruyi Benjamin,Carlos Kevin,SD Huesca,28,Spain,Spanish Segunda División,
15220,Rúben Miguel Valente Fonseca,Rúben Fonseca,CD Tondela,29,Portugal,Portuguese Liga ZON SAGRES,
15221,Carl Klaus,C. Klaus,SV Darmstadt 98,13,Germany,German 2. Bundesliga,
15222,Andrew Robert Dallas,A. Dallas,Cambridge United,9,Scotland,English League Two,
15223,Vincenzo Pinto,V. Pinto,Spezia,33,Italy,Italian Serie B,
15224,Killian Sardella,K. Sardella,RSC Anderlecht,54,Belgium,Belgian Jupiler Pro League,
15225,Münir Levent Mercan,M. Mercan,FC Schalke 04,37,Germany,German 1. Bundesliga,
15226,Jaiber Jiménez Ramírez,J. Jiménez,Cruz Azul,3,Mexico,Mexican Liga MX,
15227,Marin Cavar,M. Cavar,Chievo Verona,44,Switzerland,Italian Serie B,
15228,Paul Omo Mukairu,P. Mukairu,Antalyaspor,12,Nigeria,Turkish Süper Lig,
15229,Dominik Bilogrević,D. Bilogrevic,SC Paderborn 07,12,Germany,German 1. Bundesliga,
15230,Dong Won Lee,Lee Dong Won,Ulsan Hyundai FC,45,Korea Republic,Korean K League 1,
15231,Alessandro Martina,A. Martina,Trapani,3,Italy,Italian Serie B,
15232,Steve Eduardo Makuka Pereyra,S. Makuka,Atlético Bucaramanga,13,Uruguay,Colombian Liga Postobón,
15233,Erdinç Karakaş,E. Karakaş,Çaykur Rizespor,2,Turkey,Turkish Süper Lig,
15234,Alessio Tribuzzi,A. Tribuzzi,Frosinone,20,Italy,Italian Serie B,
15235,Tomás Agustín Álvarez,A. Álvarez,Godoy Cruz,31,Argentina,Argentina Primera División,
15236,Vladyslav Kucheruk,V. Kucheruk,Dynamo Kyiv,31,Ukraine,Rest of World,
15237,Mahsun Çapkan,M. Çapkan,Çaykur Rizespor,26,Turkey,Turkish Süper Lig,
15238,Furkan Çetinkaya,F. Çetinkaya,Kasimpaşa SK,57,Turkey,Turkish Süper Lig,
15239,Ņikita Koļesovs,N. Kolesovs,FC Botoşani,3,Latvia,Romanian Liga I,
15240,Gus Ushler,G. Ushler,Bury,11,England,English League One,
15241,Andrés Alberto Andrade Cedeño,A. Andrade,LASK Linz,30,Panama,Austrian Football Bundesliga,
15242,Filipe Ferreira Marques,Filipe Ferreira,CF Fuenlabrada,26,Portugal,Spanish Segunda División,
15243,Marcel Langer,M. Langer,FC Schalke 04,45,Germany,German 1. Bundesliga,
15244,Jabo Ibehre,J. Ibehre,Cambridge United,14,England,English League Two,
15245,Sam Russell,S. Russell,Grimsby Town,23,England,English League Two,
15246,Michael Gurski,M. Gurski,SpVgg Unterhaching,41,Germany,German 3. Bundesliga,
15247,Peter Cherrie,P. Cherrie,Derry City,1,Scotland,Rep. Ireland Airtricity League,
15248,Chris Kelan Beardsley,C. Beardsley,Burton Albion,22,England,English League One,
15249,Alan John Bennett,A. Bennett,Cork City,3,Republic of Ireland,Rep. Ireland Airtricity League,
15250,Ishmael Miller,I. Miller,Tranmere Rovers,15,England,English League One,
15251,Erfan Zeneli,E. Zeneli,HJK Helsinki,80,Finland,Rest of World,
15252,Gerardo Daniel Ruiz Barragán,G. Ruíz,Gallos Blancos de Querétaro,23,Mexico,Mexican Liga MX,
15253,Kenny Browne,K. Browne,Waterford FC,5,Republic of Ireland,Rep. Ireland Airtricity League,
15254,艾志波,Ai Zhibo,Wuhan FC,4,China PR,Chinese Super League,
15255,姚翰林,Yao Hanlin,Wuhan FC,8,China PR,Chinese Super League,
15256,谭望嵩,Tan Wangsong,Tianjin Jinmen Tiger FC,11,China PR,Chinese Super League,
15257,Christopher Mfuyi,C. Mfuyi,Servette FC,6,Congo DR,Swiss Super League,
15258,Joseph John Martin,J. Martin,Northampton Town,3,England,English League Two,
15259,Jamie Lee Peter Turley,J. Turley,Leyton Orient,23,England,English League Two,
15260,Shane Duggan,S. Duggan,Waterford FC,4,Republic of Ireland,Rep. Ireland Airtricity League,
15261,David Webster,D. Webster,St. Patrick's Athletic,2,Republic of Ireland,Rep. Ireland Airtricity League,
15262,宮崎 智彦,T. Miyazaki,Júbilo Iwata,13,Japan,Japanese J. League Division 1,
15263,안성남 安宋南,Ahn Seong Nam,Gyeongnam FC,8,Korea Republic,Korean K League 1,
15264,Grant Gillespie,G. Gillespie,Derry City,24,Scotland,Rep. Ireland Airtricity League,
15265,Mark James Halstead,M. Halstead,Morecambe,21,England,English League Two,
15266,Mihail Aleksandrov Ivanov,M. Ivanov,AFC Eskilstuna,89,Bulgaria,Swedish Allsvenskan,
15267,Adam Dawson,A. Dawson,Macclesfield Town,29,England,English League Two,
15268,Freddy Mveng Mbezele,F. Mveng,Neuchâtel Xamax FCS,88,Switzerland,Swiss Super League,
15269,Stephen Folan,S. Folan,Dundalk FC,15,Republic of Ireland,Rep. Ireland Airtricity League,
15270,하성민 河成敏,Ha Sung Min,Gyeongnam FC,4,Korea Republic,Korean K League 1,
15271,Hallam Robert Hope,H. Hope,Carlisle United,9,England,English League Two,
15272,Aaron McCarey,A. McCarey,Dundalk FC,20,Republic of Ireland,Rep. Ireland Airtricity League,
15273,Gary Shaw,G. Shaw,St. Patrick's Athletic,7,Republic of Ireland,Rep. Ireland Airtricity League,
15274,Vadaine Aston James Oliver,V. Oliver,Northampton Town,19,England,English League Two,
15275,Davor Blažević,D. Blazevic,Hammarby IF,25,Sweden,Swedish Allsvenskan,
15276,권태안 权泰安,Kwon Tae Ahn,Sangju Sangmu FC,1,Korea Republic,Korean K League 1,
15277,Elliott Mark Whitehouse,E. Whitehouse,Grimsby Town,10,England,English League Two,
15278,Bülent Cevahir,B. Cevahir,Yeni Malatyaspor,92,Turkey,Turkish Süper Lig,
15279,Kevin Devaney,K. Devaney,Bohemian FC,11,Republic of Ireland,Rep. Ireland Airtricity League,
15280,Jacob Melling,J. Melling,Central Coast Mariners,22,Australia,Australian Hyundai A-League,
15281,Alexander Riemann,A. Riemann,VfL Osnabrück,30,Germany,German 2. Bundesliga,
15282,Stefano Scognamillo,S. Scognamillo,Trapani,6,Italy,Italian Serie B,
15283,Joseph Dylan Jones,J. Jones,Salford City,25,Northern Ireland,English League Two,
15284,Kyle Anthony Callan-McFadden,K. Callan-McFadden,Sligo Rovers,5,Republic of Ireland,Rep. Ireland Airtricity League,
15285,Dean Clarke,D. Clarke,St. Patrick's Athletic,18,Republic of Ireland,Rep. Ireland Airtricity League,
15286,Maxime Teremoana Crocombe,M. Crocombe,Brisbane Roar,1,New Zealand,Australian Hyundai A-League,
15287,Jimmy McLaughlin III,J. McLaughlin,FC Cincinnati,20,United States,USA Major League Soccer,
15288,Jibril Bojang,J. Bojang,Mjøndalen IF,31,Gambia,Norwegian Eliteserien,
15289,Marek Kozioł,M. Kozioł,Korona Kielce,88,Poland,Polish T-Mobile Ekstraklasa,
15290,Saeed Mohammed Al Dosari,S. Al Dosari,Al Fateh,27,Saudi Arabia,Saudi Abdul L. Jameel League,
15291,Carlos Octavio Villanueva López,C. Villanueva,Club Deportivo Guadalajara,23,Mexico,Mexican Liga MX,
15292,Murtadha Al Burayh,M. Al Burayh,Al Adalah,5,Saudi Arabia,Saudi Abdul L. Jameel League,
15293,Simone Perilli,S. Perilli,Pisa,22,Italy,Italian Serie B,
15294,Samuel Patrick Robert Long,S. Long,Oxford United,12,England,English League One,
15295,Maksymilian Rozwandowicz,M. Rozwandowicz,ŁKS Łódź,29,Poland,Polish T-Mobile Ekstraklasa,
15296,Ross Mark Stewart,R. Stewart,Livingston FC,1,Scotland,Scottish Premiership,
15297,박용지 朴永智,Park Yong Ji,Sangju Sangmu FC,19,Korea Republic,Korean K League 1,
15298,Michael Rose,M. Rose,Coventry City,4,Scotland,English League One,
15299,이상협 李相协,Lee Sang Hyeob,Sangju Sangmu FC,8,Korea Republic,Korean K League 1,
15300,Osama Ashoor,O. Ashoor,Abha Club,30,Saudi Arabia,Saudi Abdul L. Jameel League,
15301,Robert Cornwall,R. Cornwall,Bohemian FC,5,Republic of Ireland,Rep. Ireland Airtricity League,
15302,David Richards,D. Richards,Crewe Alexandra,13,Wales,English League Two,
15303,Alejandro Fernández Portillo,Álex Portillo,IF Elfsborg,12,Spain,Swedish Allsvenskan,
15304,Brandon Martin Goodship,B. Goodship,Southend United,14,England,English League One,
15305,Daniel Carr,D. Carr,Shamrock Rovers,9,England,Rep. Ireland Airtricity League,
15306,Luca Forte,L. Forte,Pescara,24,Italy,Italian Serie B,
15307,Érico Henrique Esteves De Sousa,Érico Sousa,Accrington Stanley,17,Portugal,English League One,
15308,Paul Milde,P. Milde,Chemnitzer FC,31,Germany,German 3. Bundesliga,
15309,Caolan McAleer,C. McAleer,Finn Harps,7,Northern Ireland,Rep. Ireland Airtricity League,
15310,Andy Dales,A. Dales,Scunthorpe United,12,England,English League Two,
15311,Mohammed Al Wakid,M. Al Wakid,Al Hilal,30,Saudi Arabia,Saudi Abdul L. Jameel League,
15312,Matthew William Jay,M. Jay,Exeter City,17,England,English League Two,
15313,Assan Torrez Ceesay,A. Ceesay,FC Zürich,9,Gambia,Swiss Super League,
