,common_entity,entity1,entity2
15580,Obligato: Untold Tales from a Life With Music,"Hirschmann, Ira","April, 1994"
72869,The Canon: A Whirligig Tour of the Beautiful Basics of Science,"Angier, Natalie","May, 2007"
100174,The Last Champion,"Hale, Deborah","April, 2004"
91125,A Short History of Women: A Novel,"Walbert, Kate","June, 2010"
5673,Critical Mass,"Martini, Steve","September, 1998"
83211,Grace Based Parenting: Set Your Familiy Free,"Kimmel, Tim","May, 2005"
21807,New Father Book: What Every New Father Needs to Know to Be a Good Dad,"Better Homes and Gardens Books (COR), Feinstein, Alice (EDT), Horn, Wade F., and Rosenberg, Jeffrey","March, 1998"
72353,Worlds Imagined: 14 Short Science Fiction,"Silverberg, Robert and Greenberg, Martin Harry (COM)","January, 1989"
48954,The New York Times Manual of Style and Usage : The Official Style Guide Used by the Writers and Editors of the World's Most Authoritative Newspaper,"New York Times Company (EDT), Connolly, William G, and Siegal, Allan M.","October, 1999"
92981,Complete Idiot's Guide to Publishing Magazine Articles,"kofsky, Sheree, Sander, Jennifer Basye, and Rominger, Lynne","June, 2000"
54498,Terrorist,"Updike, John","June, 2006"
31648,American Measures: Three Centuries of American Poetry,"Starr, Debra","January, 1997"
8280,Gabby Growing Up,"Hest, Amy and Schwartz, Amy (ILT)","February, 1998"
59552,No Opportunity Wasted : Creating a List for Life,"Berger, Warren and Keoghan, Phil","November, 2004"
28321,Murder at the Fair,"Crites, Susan","January, 1993"
39104,Peter's Chair,"Keats, Ezra Jack","May, 1983"
77561,The Penny Wars,"Baker, Elliott","January, 1972"
27814,Procedures for the Professional Secretary,"Fulton, Patsy and Hanks, Joanna","June, 1985"
77526,Beyond Sovereignty: Issues for a Global Agenda,"Cusimano, Maryann K.","July, 1999"
99575,Escape Across the Potomac,"Whitehair, C. W.","July, 2013"
88885,Interactive Bible Studies: 45 Guided Questionnaires for Group Building,"Coleman, Lyman","December, 1998"
66265,A Boy Named Charlie Brown,"Schulz, Charles M.","May, 2001"
44521,The Power of Purpose,"Leider, Richard J.","May, 1985"
23713,Disobedience: A Novel,Jane Hamilton,"October, 2000"
71331,Blood Pact,"Huff, Tanya","November, 1993"
57353,Martini,"Taylor, David","September, 2003"
46408,Einstein: A Life,"Brian, Denis","August, 1997"
16623,Our Government and the Arts: A Perspective from the Inside,"Biddle, Livingstone L.","April, 1988"
52414,Praise and Worship: A Devotional for Little Ones,"Abraham, Ken, Abraham, Angela, Anderson, Terry, and Dunn, Kathleen","July, 1996"
78131,Baking Bread: Old and New Traditions,"Hensperger, Beth and Pool, Joyce Oudkerk (PHT)","September, 1992"
88929,Best Answers to the 201 Most Frequently Asked Interview Questions,"Deluca, Matthew J.","September, 1996"
9460,From Ashes to Glory,"McCartney, Bill and Diles, David L.","June, 1995"
51693,Good Faith,"Smiley, Jane","May, 2004"
90011,10 TRUTHS ABOUT CHRISTIANS AND POLITICS,coral-ridge,"January, 2008"
99704,Forces Of Nature,"Ganeri, Anita and Saunders, Mike (ILT)","May, 1991"
60074,How to Tell a Story: The Secrets of Writing Captivating Tales,"Rubie, Peter and Provost, Gary","June, 1998"
5457,In Praise of Public Life,"D'Orso, Michael and Lieberman, Joseph I.","February, 2000"
13615,The Restless Earth,"Calder, Nigel","April, 1978"
36819,The Sounds of Poetry: A Brief Guide,"Pinsky, Robert and Pinksy, Robert","September, 1998"
65002,Modern Classics of Fantasy,"Dozois, Gardner R. (EDT)","January, 1997"
58883,Indians: a play,Alan Kopit,"January, 1971"
72820,Guide to the New MLA Style of Documentation for Users of Writting a College Handbook,"Lincoln, John E. and Heffernan, James W.","June, 1984"
12354,The Voice on the Radio,"Cooney, Caroline B.","October, 1996"
98283,Outside and Inside Dinosaurs,"Markle, Sandra","July, 2003"
408,A Son of Thunder: Patrick Henry and the American Republic,"Mayer, Henry","June, 2001"
40570,Good Care for Cats: How to Keep Your Cat in Perfect Health,"Bessant, Claire and Viner, Bradley","July, 1997"
93593,Planning a Better Kitchen,,"December, 1996"
75194,Revolving pictures: A reproduction from an antique book,Ernest Nister,"January, 1979"
9837,Farmland or Wasteland: A Time to Choose,"Sampson, R. Neil","October, 1981"
19207,Kafka's Last Love,"Diamant, Kathi","July, 2003"
24522,Expendable,"Gardner, James Alan","January, 1997"
48065,Impressionist Roses,FELL,"January, 2001"
79994,Psychology of Music,"Seashore, Carl E.","June, 1967"
75402,The Manual of Horsemanship,British Horse Society and the Pony Club,"January, 1982"
34279,People's Century:: The Ordinary Men and Women Who Made the Twentieth Century,"Hodgson, Godfrey and Smith, P. (EDT)","April, 1998"
84644,Active Directory Cookbook for Windows Server 2003 and Windows 2000,"Allen, Robbie","September, 2003"
52650,Afterlove,"Rosenblum, Robert J.","March, 2003"
6728,Love Someone Today: Encouragement and Inspiration for the Times of Our Lives,"Delilah and Newton, Dave","May, 2001"
75,Proverbs For The People,"Price-Thompson, Tracy (EDT) and Stovall, Taressa (EDT)","June, 2003"
1532,The Camel Club,"Baldacci, David","October, 2005"
26923,Coming Back to Me: A Novel,"Leavitt, Caroline","September, 2003"
56378,Advanced Unix Programming,"Rochkind, Marc J.","August, 1985"
13433,Big Six: Why Americans Can't Trust the Nation's Top Accounting Firms,"Stevens, Mark","April, 1992"
16154,Love Invents Us,"Bloom, Amy","December, 1996"
99763,The Everything Cookbook,"Lawson, Karen, Jaycox, Faith, and Jaycox, Sarah","September, 2000"
13219,Timothy's Game,"Sanders, Lawrence","July, 1988"
67838,While She Was Sleeping,"Forster, Suzanne","August, 2003"
19824,Remember Me,"Clark, Mary Higgins","May, 1994"
102204,365 Ways to Get a Good Night's Sleep,"Kotler, Ronald L., M.D., Karinch, Maryann, and Cantor, Charles R. (FRW)","November, 2009"
82884,Wintergirls,"Anderson, Laurie Halse","February, 2010"
66874,Notes on a Scandal: What Was She Thinking?: A Novel,"Heller, Zoe","December, 2006"
52629,Increasing Revenue from Your Clients,"Connor, Richard A","November, 1989"
36126,How to Have a Whole Heart in a Broken World,"Lutzer, Erwin W.","October, 1987"
69667,Southern Lighthouses: Chesapeake Bay to the Gulf of Mexico,"Roberts, Bruce and Jones, Ray","June, 1995"
16448,Counseling Women,"Collier, Helen V.","September, 1982"
77469,Beyond Birth and Death,A. C. Bhaktivedanta Swami Prabhupada,"January, 1972"
56735,Mary Wore Her Red Dress and Henry Wore His Green Sneakers,"Peek, Merle","March, 1988"
22069,Will They Ever Trust Us Again?: Letters From the War Zone,"Moore, Michael (EDT)","October, 2004"
94265,The Wordsworth Dictionary of Foreign Words in English,"Ayto, J.","April, 1998"
50760,Victory Over the Darkness: Realizing the Power of Your Identity in Christ,"Anderson, Neil T.","July, 2000"
93109,How Emily Blair Got Her Fabulous Hair,"Priceman, Marjorie (ILT), Beroza, Susan Garrison, and Garrison, Susan","December, 1999"
14697,The Lady and the Unicorn: A Novel,"Chevalier, Tracy","December, 2004"
50064,Awakening,"Deveraux, Jude","June, 1988"
9063,Workplace 2000: The Revolution Reshaping American Business,"Boyett, Joseph H. and Conn, Henry P.","May, 1992"
74223,WWJD Spiritual Challenge Journal,"Yaconelli, Mike","November, 1997"
62072,Deryni Rising,"Kurtz, Katherine","May, 1980"
23710,The Joy of Being Single,"Zobel-Nolan, Allia and Chast, Roz (ILT)","January, 1992"
27842,Green Frog,Hogeweg,"December, 1979"
94042,Hemingway's a Farewell to Arms,"Hemingway, Ernest and Sexton, Adam","January, 2001"
49119,Stories for the Family's Heart: Over One Hundred Stories to Encourage Your Soul,"Gray, Alice (EDT)","July, 1998"
62610,Yurth Burden,"Norton, Andre","September, 1978"
67152,The Complete Book of Asian Cooking,,"January, 2002"
63921,Nutrition for Dummies,"Rinzler, Carol Ann","April, 1997"
87518,Day After Night: A Novel,"Diamant, Anita","August, 2010"
61108,Old Magic,"Curley, Marianne","February, 2002"
5521,National Geographic: Behind America's Lens on the World,"Abramson, Howard S.","April, 1988"
30342,The New Classics: Fresh Ideas for Rooms that Endure,"Trocme, Suzanne, Hayden, Ken (PHT), and Hayden, Ken","October, 2002"
99094,The Big Fight: My Life In and Out of the Ring,"Leonard, Sugar Ray and Arkush, Michael (CON)","June, 2011"
14982,Reaching to Heaven: A Spiritual Journey Through Life and Death,"Van Praagh, James","February, 1999"
7175,The Romance Reader,"Abraham, Pearl","September, 1996"
87863,Morning Glory,"Peterfreund, Diana","October, 2010"
74069,Housewrights,"Corriveau, Art","June, 2002"
98194,Healthy Heart Miracle Diet,"Hastings, John & Lori Mosca","January, 2011"
79121,Code Name Ginger: The Story Behind Segway and Dean Kamen's Quest to Invent a New World,"Kemper, Steve","June, 2003"
60730,A Million Little Pieces,"Frey, James","January, 2003"
97390,Seeking God: My Journey of Prayer and Praise,"Tada, Joni Eareckson","July, 1991"
33725,American Eskimos,Monica Sellers,"September, 1990"
31719,Latin Quips at Your Fingertips,Rose Williams,"January, 2001"
32459,Journey to the Centre of the Earth,"Verne, Jules","May, 1986"
57515,Worst Christmas Ever,"Remlinger-Trounstine, Connie","August, 1996"
47970,Hungry as the Sea: A Novel,"Smith, Wilbur A.","May, 1999"
30398,Contempt: How the Right Is Wronging American Justice,"Crier, Catherine","September, 2005"
23801,Beauty Wisdom: The Secret of Looking and Feeling Fabulous,"Vyas, Bharti and Haggard, Claire","May, 1998"
47904,The Portable Greek Historians,"Finley, M. I","June, 1960"
4194,Circumstances Unknown: A Novel of Suspense,"Heckler, Jonellen","March, 1993"
28482,Wealthy and Wise: Secrets About Money,"Steiger, Heidi L. (EDT) and Berman, Neuberger","October, 2002"
73168,British Pottery and Porcelain,"Fisher, Stanley W.","January, 1962"
40129,Adult Children of Divorce,"Hochman, Gloria and Beal, Edward W.","February, 1991"
29338,The Hearse You Came In On,"Cockey, Tim","March, 2000"
23564,John James Audubon: The Watercolors for the Birds of America,"New-York Historical Society (COR), Audubon, John James, Stebbins, Theodore E., Jr., Blaugrund, Annette, Slatkin, Carole Anne, and Hotchner, Holly","August, 1994"
2670,I Do: A Guide to Creating Your Own Unique Wedding Ceremony,"Metrick, Sydney Barbara","September, 2004"
13205,MY WAR,"Rooney, Andrew A.","October, 2000"
77616,Just As I Am: The Life of David Ring As Told to Lela Gilbert,"Gilbert, Lela and Ring, David","September, 1993"
66943,The Devil's Waltz,"Stuart, Anne","January, 2006"
3259,A Clear Conscience,"Fyfield, Frances","March, 1995"
17854,The Ride Together: A Brother and Sister's Memoir of Autism in the Family,"Karasik, Judy","January, 2003"
75321,The Meaning of the Constitution,"Holder, Angela Roddey and Holder, John Thomas Roddey","September, 1997"
14727,Here at Eagle Pond,"Hall, Donald","January, 1992"
79183,Ministry of Intercessory Prayer,"Murray, Andrew","June, 1981"
65631,The Rebel Bride,"Coulter, Catherine","January, 1994"
50679,The Lost: A Search for Six of Six Million,"Mendelsohn, Daniel and Mendelsohn, Matt (PHT)","September, 2006"
21681,May You Be the Mother of a Hundred Sons: A Journey Among the Women of India,"Bumiller, Elisabeth","April, 1991"
17181,The Decorating Book,"Gilliatt, Mary","April, 1987"
21749,The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus,"Strobel, Lee","September, 1998"
100941,Ink: The Book of All Hours,"Duncan, Hal","February, 2007"
50735,The Red Hat Society Cookbook: More Than 1000 Recipes From the World's Most Divine Ladies,"The Red Hat Society and intro by Sue Ellen Cooper, illus. by Andrea Reekstin, recipes by members of the Red Hat Society","January, 2006"
26468,The Book of Grilling and Barbecuing,"Norman, Cecilia","April, 1989"
5034,The Ends of Power,"Haldeman, H. R.","February, 1978"
67581,The Secret of Annexe 3: An Inspector Morse Mystery,"Dexter, Colin","October, 1988"
83776,The Seventh Sinner,"Peters, Elizabeth","March, 1989"
12201,Up From Liberalism,"Willaim F. Buckley, Jr.","January, 1959"
749,The Elegant Onion: The Art of Allium Cookery,"Cavage, Betty","October, 1987"
26026,Improving Your Memory: How to Remember What You're Starting to Forget,"Stern, Lynn and Fogler, Janet","April, 1994"
52476,UNTIL THE END: A Novel of the Civil War,"Coyle, Harold","September, 1996"
100335,Best of the Best Fast and Fabulous Party Foods and Appetizers,"Gwen McKee, Barbara Moseley","May, 2008"
43841,The Civil War: An Illustrated History,"Ward, Geoffrey C., Burns, Ric, and Burns, Ken","September, 1990"
45964,Leadership for Learning: How to Help Teachers Succeed,"Glickman, Carl D.","January, 2002"
44125,Crucified Love,"Maas, Robin","September, 1989"
19339,Gag Rule: On the Suppression of Dissent and Stifling of Democracy,"Lapham, Lewis H.","June, 2004"
13143,The New Book Of The Horse: Complete Authoritative Reference for Every Horse Lover,"Haw, Sarah","September, 1993"
96278,Sleepless in Scotland,Karen Hawkins,"January, 2009"
29389,Papal Sin: Structures of Deceit,"Wills, Garry","June, 2000"
85941,The Healthy Heart Gourmet,"Mills, Tom and Mills, Arlene","June, 1993"
86876,Against the Tide: How a Compliant Congress Empowered a Reckless President,"Chafee, Lincoln","April, 2008"
25139,What Every American Should Know About American History,"Phillips, Charles and Axelrod, Alan","January, 1997"
37736,In the Bed of a Duke,"Maxwell, Cathy","April, 2006"
3088,United Methodist Altars:A Guide For The Local Church,"Hickman, Hoyt L.","April, 1984"
45531,Twin to Twin,"Courtin, Thierry (ILT) and O'Hair, Margaret","May, 2003"
48220,Alphabet Weekends: Love on the Road from A to Z,"Noble, Elizabeth","January, 2007"
52143,When Your Past Is Hurting Your Present: Getting Beyond Fears That Hold You Back,"Augustine, Sue","August, 2005"
36314,Four Trials,"Edwards, John and Auchard, John","November, 2003"
12218,Sunny Chandler's Return,"Brown, Sandra","December, 2003"
27504,Take It from Me: Life's a Struggle But You Can Win,"Eliot, Marc and Brokovich, Erin","October, 2001"
49507,Fingerprints and Talking Bones,"Jones, Charlotte Foltz and Klein, David G. (ILT)","February, 1999"
41325,The Serpent Club,"Coffey, Tom","June, 1999"
57693,Big Flavors of the Hot Sun: Recipes and Techniques from the Spice Zone,"Schlesinger, Chris, Willoughby, John, and Witschonke, Alan (ILT)","June, 1994"
43198,Home Hints and Tips,"Richardson, Rosamond and Sadur, Russell (PHT)","February, 2003"
15231,Africana,"Harrison, William","January, 1977"
79742,The Cook's Encyclopedia of Thirty Minute Cooking,Jenni Fleetwood,"January, 2003"
8893,In Search of the Birth of Jesus,"Roberts, Paul William","November, 1996"
14850,Lake News,"Delinsky, Barbara","July, 1999"
40989,The Cay,"Taylor, Theodore","May, 2002"
44374,Run For Your Life,"Kane, Andrea","November, 2000"
23167,Dad,"Wharton, William","May, 1981"
46815,The New Office Professional's Handbook: How to Survive and Thrive in Today's Office Environment,"American Heritage Dictionaries, Edit (EDT)","January, 2009"
17383,Seasons of Our Joy: A Modern Guide to the Jewish Holidays,"Waskow, Arthur I., Farren, Martin, and Benjamin-Farren, Joan","September, 1991"
12771,Growing Up Me: A Guide to Scrapbooking Childhood Stories,"Pedersen, Angie","March, 2004"
23852,Guide to the Colorado Mountains,"Colorado Mountain Club, Denver","January, 1973"
2593,The Actor's Book of Contemporary Stage Monologues: More Than 150 Monologues from More Than 70 Playwrights,"Shengold, Nina (EDT)","November, 1987"
99824,The richest lady in town,"Heatherley, Joyce Landorf","January, 1979"
62570,Furnish With Fabric: Over 25 Beautiful Ideas For Decorating Your Home,"Guild, Trisha","January, 1990"
39301,Tokyo Knights,"Napton, Robert Place and Renegar, Michael","January, 2005"
89717,In Every Tiny Grain of Sand: A Child's Book of Prayers and Praise,"Jeram, Anita (ILT), Kleven, Elisa (ILT), Graham, Bob (ILT), Davenier, Christine (ILT), and Lindbergh, Reeve (EDT)","August, 2000"
17999,Favorite Hymns for Children,Karl (Arranger) (Illustrated by Miss Elliott) Schu,"January, 1942"
34115,Diablo: My Dream Horse,"Adam, Gabi","January, 2005"
52483,Home Masonry Repairs and Projects,Black & Decker,"January, 1996"
14224,What's the Good Word?,"Safire, William","October, 1983"
42048,Where Monsoons Cry: stories,"Noronha, Lalita","January, 2005"
12221,Vox,"Baker, Nicholson","January, 1993"
75287,The Journey of Desire: Searching for the Life We've Only Dreamed of,"Eldredge, John","April, 2001"
91638,Greatest Ever Baking,unknown,"January, 2002"
14389,Sisters of the Earth: Women's Prose and Poetry About Nature,"Anderson, Lorraine (EDT)","September, 1991"
58945,The Needlepoint Book,"Christensen, Jo Ippolito","January, 1976"
17890,The Goddess in the Office: A Personal Energy Guide for the Spiritual Warrior at Work,"Budapest, Zsuzsanna Emese","March, 1993"
47246,The Hamptons Diet: Lose Weight Quickly and Safely with the Doctor's Delicious Meal Plans,"Pescatore, Fred","April, 2004"
57793,Running Scared: The Life and Treacherous Times of Las Vegas Casino King Steve Wynn,"Smith, John L.","January, 2001"
55329,Spy: The Inside Story of How the FBI's Robert Hanssen Betrayed America,"Wise, David","October, 2002"
49239,Better Homes and Gardens Stretching Living Space,Better Homes and Gardens Books (COR),"January, 1983"
83445,The Story of the Ten Commandments,"Pingry, Patricia A.","January, 2000"
51517,Indochine,"Dickason, Christie","September, 1987"
99719,Got Game: How the Gamer Generation Is Reshaping Business Forever,"Beck, John C. and Wade, Mitchell","October, 2004"
32973,The Papa Prayer: The Prayer You've Never Prayed,"Crabb, Lawrence J.","February, 2006"
77487,River of Light: Monet's Impressions of the Seine,"Monet, Claude and Skeggs, Douglas","September, 1987"
32291,Skippyjon Jones,Judy Schachner,"April, 2005"
15968,A Kwanzaa Fable,"Copage, Eric V.","October, 1995"
51996,Elmo Gets Homesick,"Tish Sommers Rabe, Illustrated by Tom Br","January, 1990"
19319,Deathbeast,David Gerrold,"January, 1978"
24605,In the Eye of the Storm,"Lucado, Max","July, 1991"
37813,The Complete Book of Food Counts,"Netzer, Corinne T.","February, 1988"
13116,Families of Fengsheng,"Sidel, Ruth","November, 1974"
91875,Free Yourself from Depression,"Yapko, Michael D.","January, 1992"
74328,Inner Calm: A Christian Answer to Modern Stress,"Deblassie, Paul","March, 1985"
67507,The Rustlers of West Fork,"L'Amour, Louis","April, 1992"
97180,Children's First Encyclopedia,Neil Morris,"January, 2004"
102214,Flash and Bones,"Reichs, Kathy","August, 2011"
85445,Technology and the Future,"Teich, Albert H. (EDT)","March, 1993"
63580,Blocking the Courthouse Door: How the Republican Party and Its Corporate Allies Are Taking Away Your Right to Sue,"Mencimer, Stephanie","December, 2006"
54521,Hurricane,"Harper, Karen","May, 2006"
98995,Obama: Why Black America Should Have Doubts,"Owens, William, Jr.","September, 2008"
44664,Complete Kama Sutra the First Unabridged,"Danielou, Alain","January, 1994"
22144,American Psychiatric Press Review of Psychiatry,"Hales, Robert E. (EDT) and Frances, Allen J.","March, 1988"
61685,An Encyclopedia of Small Antiques,"MacKay, James A.","July, 1975"
74461,A general selection from the works of Sigmund Freud,,"January, 1957"
68129,The Century for Young People,"Armstrong, Jennifer, Jennings, Peter, Brewster, Todd, and Bourbeau, Katherine","September, 1999"
37115,Bears on Wheels,"Berenstain, Stan and Berenstain, Jan","September, 1969"
584,Antiques as an Investment,"Rush, Richard H.","January, 1968"
32217,Bright Star Shining: Poems for Christmas,"Harrison, Michael (EDT) and Stuart-Clark, Christopher (EDT)","December, 1998"
59260,The Woman Next Door,"Delinsky, Barbara","July, 2001"
25973,The Oxford Dictionary of Foreign Words and Phrases,"Speake, Jennifer (EDT)","December, 1998"
13221,Communication: Key to Your Marriage,"Wright, H. Norman","June, 1979"
72544,Untamed,"Roberts, Nora","October, 2003"
38790,My Country 'tis Of Thee,"Smith, Samuel Francis (EDT)","June, 2004"
26575,THREAD OF LIFE: The Smithsonian Looks at Evolution,"Lewin, Roger","July, 1989"
26959,The Wanting,"Black, Campbell","June, 1986"
68479,Ashana,"Roesch, E. P.","October, 1991"
42517,Girls' Night Out,"Valdes-Rodriguez, Alisa, Giffin, Emily, Gore, Kristin, Bagshawe, Tilly, Matthews, Carole (EDT), Mlynowski, Sarah (EDT), and Manby, Chris (EDT)","May, 2006"
66148,Curious George and the Firefighters,"Rey, H. A., Rey, Margret, and Hines, Anna Grossnickle (ILT)","August, 2004"
43384,God's Best for My Life,"Ogilvie, Lloyd J.","January, 1981"
20538,The Run to Morning,"Higgins, Jack","June, 1974"
42460,Wait Till Helen Comes: A Ghost Story,"Hahn, Mary Downing","November, 1987"
84203,Decoding The Lost Symbol: The Unauthorized Expert Guide to the Facts Behind the Fiction,"Cox, Simon","November, 2009"
14295,The Collected Stories of Amanda Cross,"Cross, Amanda","January, 1997"
68488,Complete Idiot's Guide to Financial Aid for College,"Rye, David","December, 2000"
66695,The Doomsday Key: A Sigma Force Novel,"Rollins, James","June, 2009"
55554,Movie Book: The 1930's,"Brockman, Alfred","November, 1987"
95342,More Period Details : The House Renovator's Bible,"Miller, Judith","August, 1999"
16790,The Modern Researcher,"Barzun, Jacques, Graff, Henry F.","September, 1985"
22838,The Cardinal of the Kremlin,"Clancy, Tom","July, 1988"
6470,Father Joe: The Man Who Saved My Soul,"Hendra, Tony","May, 2004"
24238,And This Too Shall Pass: A Novel,"Harris, E. Lynn","February, 1997"
88187,The Struggle For A Free Europe,"Acheson, Dean Gooderham","October, 1971"
55823,Wines And Spirits,L. W. MARRISON,"January, 1958"
56519,Olive's Ocean,"Henkes, Kevin","April, 2005"
34478,Official Guide to Colonial Williamsburg,"Olmert, Michael","June, 1985"
47227,The Farming of Bones,"Danticat, Edwidge","September, 1999"
63166,Amazing Grace: 366 Inspiring Hymn Stories for Daily Devotions,"Osbeck, Kenneth W.","July, 1990"
41612,The Spies of Warsaw: A Novel,"Furst, Alan","June, 2008"
87337,When Your Teen Is Struggling: Real Hope and Practical Help for Parents Today,"Gregston, Mark","January, 2007"
11941,Making Money in Cyberspace,"Edwards, Sarah, Edwards, Paul, and Rohrbough, Linda","September, 1998"
72438,To My Daughter with Love on the Important Things in Life,"Schutz, Susan Polis, Schutz, Stephen (ILT), and Schutz, Stephen","October, 1988"
13564,Finding Facts Fast,"Todd, Alden","October, 1979"
23671,The Saturday Evening Post Christmas Book,"Flythe, Starkey and White, Jean","January, 1977"
14455,Demanding Medical Excellence: Doctors and Accountability in the Information Age,"Millenson, Michael L.","November, 1997"
54445,The Poisonwood Bible,Barbara Kingsolver,"January, 1998"
48891,How Do Dinosaurs Say Goodnight?,"Yolen, Jane and Teague, Mark (ILT)","March, 2000"
61049,Ordinary Resurrections,"Kozol, Jonathan","April, 2000"
5391,Day of Wrath: A Mystery,"Collier, Iris","May, 2002"
1720,A New Treasury of Poetry,"Philip, Neil and Lawrence, John (ILT)","September, 1990"
80636,Earl Mindell's Supplement Bible,"Mindell, Earl","January, 1998"
54245,Organizing for Life: Declutter Your Mind to Declutter Your World,"Felton, Sandra","March, 2007"
99022,Palinisms: The Accidental Wit and Wisdom of Sarah Palin,"Weisberg, Jacob (EDT)","August, 2010"
95787,Riso: Undiscovered Rice Dishes of Northern Italy,"Vitale, Gioietta and Lawley, Lisa","September, 1992"
27356,Multicultural Issues in Counseling: New Approaches to Diversity,"Lee, Courtland C. and Richardson, Bernard L. (EDT)","January, 1991"
20648,Howard Hughes: The Untold Story,"Brown, Peter Harry and Broeske, Pat H.","November, 2004"
79814,The Thief and the Dogs,"Mahfouz, Naguib","September, 1989"
101598,Born Wild in Shenandoah,"Simpson, Rob and Simpson, Ann","July, 2007"
64845,Songmaster,Orson Scott Card,"January, 1980"
41860,The Accidental Tourist,"Tyler, Anne","September, 1986"
82010,Real Life: Preparing for the 7 Most Challenging Days of Your Life,"McGraw, Phillip C., Ph.D.","September, 2008"
34004,DK Guide to Space,"Bond, Peter","April, 1999"
92431,Consequences,"Lively, Penelope","May, 2007"
61904,The Secret Lives of Doctors' Wives,"Major, Ann","November, 2006"
69735,A History of Warfare,"Keegan, John","November, 1994"
10514,Who Can You Trust?: Overcoming Betrayal and Fear,"Butt, Howard E., Jr.","October, 2004"
96716,Immortal,"Shields, Gillian","August, 2009"
5624,Special Delivery,"Steel, Danielle","June, 1997"
16574,Exporting America: Why Corporate Greed Is Shipping American Jobs Overseas,"Dobbs, Lou","August, 2004"
54611,American Diplomacy in the Twentieth Century,"Schulzinger, Robert D.","March, 1990"
40391,Waiting,"Jin, Ha","September, 1999"
20356,Match Me If You Can: A Novel,"Phillips, Susan Elizabeth","August, 2005"
30680,One Snowy Night,"Macnaughton, Tina (ILT) and Butler, M. Christina","February, 2005"
28213,The Torment of Sherlock Holmes,"Andrews, Val","October, 2000"
22231,The Clueless Groom's Guide : More Than Any Man Should Ever Know About Getting Married,"Van Dijk, Peter","May, 2003"
56340,Fresh Flower Arranger's Companion,Andrea Neophyton,"May, 1994"
49200,Gertie's Great Gifts,"Perle, Ruth Lerner","January, 1990"
66940,Search for a New Dawn,"Delinsky, Barbara","September, 1995"
18021,One Hundred Activities for Gifted Children,"Meredith, Paul","June, 1957"
11816,The Tribe of Tiger: Cats and Their Culture,"Thomas, Elizabeth Marshall and Williams, Jared Taylor (ILT)","September, 1995"
21867,In Focus: National Geographic Greatest Portraits,"Bendavid-Val, Leah (EDT)","October, 2004"
34013,Research and Documentation in the Electronic Age,"Hacker, Diana and Fister, Barbara","February, 2002"
55440,The Many Loves of Marriage,"Kinkade, Thomas, Libby, Larry, and Kinkade, Nanette","December, 2001"
96682,Charming Rabbits,Elinor Cooper,"January, 1982"
16937,Emeril's Creole Christmas,"Lagasse, Emeril and Bienvenu, Marcelle","October, 1997"
75579,Dead Pan: A Jocelyn O'Roarke Mystery,"Dentinger, Jane","October, 1992"
60982,Swampfire,"Hass, Patricia Cecil","January, 1973"
11127,A Ride into Morning: The Story of Tempe Wick,"Rinaldi, Ann","April, 1995"
69199,Monet,Frank Milner,"January, 2002"
60945,Living Religions: A Brief Introduction,"Fisher, Mary Pat","October, 2001"
56398,The Darwin Conspiracy,"Darnton, John","September, 2006"
95395,The Borderlands of Science: Where Sense Meets Nonsense,"Shermer, Michael","November, 2002"
41620,Loving Frank: A Novel,"Horan, Nancy","April, 2008"
82858,SOC,"Witt, Jon","October, 2008"
5343,Bandits,"Leonard, Elmore","December, 1987"
78266,Hondo and Fabian,"McCarty, Peter","May, 2007"
32372,Thanksgiving Is,"Borden, Louise and Bjorkman, Steve (ILT)","October, 1997"
74680,Annie,"Fleischer, Leonore and Sobieski, Carol","May, 1982"
1153,Working family's kitchen guide,"Kennedy, Sheila","January, 1980"
31734,The City of Gold and Lead,John Christopher,"September, 1970"
48132,Be Like Water: Practical Wisdom from the Martial Arts,"Cardillo, Joseph","September, 2003"
68472,WW III: Signs of the Impending Battle of Armageddon,"White, John Wesley","March, 1977"
50114,The Nine: Inside the Secret World of the Supreme Court,"Toobin, Jeffrey","September, 2008"
17688,Civil Disobedience and Violence,"MURPHY, JEFFRIE G (editor)","January, 1971"
61652,Attack and die: Civil War military tactics and the Southern heritage,"McWhiney, Grady","January, 1982"
27635,Improve Your Lateral Thinking: Puzzles To Challenge Your Mind,"Sloane, Paul and MacHale, Des","June, 1995"
58432,Weight Watchers Weight Loss That Lasts,"Weight Watchers International and Rippe, James M.","December, 2004"
77501,Ladylord,"Miller, Sasha","January, 1997"
34748,Stephen Hawking's A Brief History of Time: A Reader's Companion,"Hawking, Stephen W. (EDT)","May, 1992"
97655,The Ultimate Bread,"Collister, Linda & Anthony Blake","January, 1999"
42741,Will earns his mark: And other stories of long ago,,"January, 1994"
83860,Secrets of the Richest Man Who Ever Lived,"Murdoch, Mike","April, 1998"
44965,Constantine the Great the Man and His Times,"Grant, Michael","January, 2000"
2590,The Ten Commandments,"Macartney, Clarence E. and Szyk, Arthur (ILT)","October, 2000"
9506,The Secret of the Bulls,"Bernardo, Jose Raul","March, 1996"
57772,Hunters Bible,"Merrill, William","November, 1968"
35063,Open Season,"Howard, Linda","June, 2002"
7921,The Venture Capital Cycle,"Lerner, Josh and Gompers, Paul A.","February, 2002"
8783,Rogue Nation: American Unilateralism And The Failure Of Good Intentions,"Prestowitz, Clyde","May, 2004"
